row_label_raw,row_label_full,col_0,Quyền sử dụng đất không xác định thời hạn VND,Quyền sử dụng đất có thời hạn xác định VND,Phần mềm máy vi tính VND,Tổng VND,numeric__Quyền sử dụng đất không xác định thời hạn VND,numeric__Quyền sử dụng đất có thời hạn xác định VND,numeric__Phần mềm máy vi tính VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,20.702.670.510,131.943.393.304,36.171.391.393,188.817.455.207,20702670510.0,131943393304.0,36171391393.0,188817455207.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,2.363.460.000,2.363.460.000,,,2363460000.0,2363460000.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,551.960.151,-,(110.412.790),441.547.361,551960151.0,,-110412790.0,441547361.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,21.254.630.661,131.943.393.304,38.424.438.603,191.622.462.568,21254630661.0,131943393304.0,38424438603.0,191622462568.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,24.657.843.898,24.170.408.398,48.828.252.296,,24657843898.0,24170408398.0,48828252296.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,-,3.001.030.502,2.945.876.331,5.946.906.833,,3001030502.0,2945876331.0,5946906833.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,27.658.874.400,27.116.284.729,54.775.159.129,,27658874400.0,27116284729.0,54775159129.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,20.702.670.510,107.285.549.406,12.000.982.995,139.989.202.911,20702670510.0,107285549406.0,12000982995.0,139989202911.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,21.254.630.661,104.284.518.904,11.308.153.874,136.847.303.439,21254630661.0,104284518904.0,11308153874.0,136847303439.0
