row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.800.025.067.739,1.949.978.805.088,403.935.957.294,30.671.531.289,4.184.611.361.410,1800025067739.0,1949978805088.0,403935957294.0,30671531289.0,4184611361410.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,19.031.668.594,29.301.293.666,11.917.135.455,2.611.017.900,62.861.115.615,19031668594.0,29301293666.0,11917135455.0,2611017900.0,62861115615.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,144.322.179.369,14.565.002.362,-,28.505.319.458,187.392.501.189,144322179369.0,14565002362.0,,28505319458.0,187392501189.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(146.307.343),(18.584.994.990),(5.399.858.829),-,(24.131.161.162),-146307343.0,-18584994990.0,-5399858829.0,,-24131161162.0
Xóa sổ,Nguyên giá > Xóa sổ,Xóa sổ,(37.000.000),-,(134.000.000),-,(171.000.000),-37000000.0,,-134000000.0,,-171000000.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,1.222.144.676,-,-,(730.756.480),491.388.196,1222144676.0,,,-730756480.0,491388196.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.964.417.753.035,1.975.260.106.126,410.319.233.920,61.057.112.167,4.411.054.205.248,1964417753035.0,1975260106126.0,410319233920.0,61057112167.0,4411054205248.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,823.577.399.762,1.326.138.500.520,162.016.736.724,24.756.546.196,2.336.489.183.202,823577399762.0,1326138500520.0,162016736724.0,24756546196.0,2336489183202.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,137.409.662.486,92.732.661.626,22.782.969.566,1.648.522.212,254.573.815.890,137409662486.0,92732661626.0,22782969566.0,1648522212.0,254573815890.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(112.168.976),(17.152.992.289),(3.219.294.411),-,(20.484.455.676),-112168976.0,-17152992289.0,-3219294411.0,,-20484455676.0
Xóa sổ,Giá trị hao mòn lũy kế > Xóa sổ,Xóa sổ,(37.000.000),-,(134.000.000),-,(171.000.000),-37000000.0,,-134000000.0,,-171000000.0
Chênh lệch quy đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,1.338.666.047,-,-,(730.756.480),607.909.567,1338666047.0,,,-730756480.0,607909567.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,962.176.559.319,1.401.718.169.857,181.446.411.879,25.674.311.928,2.571.015.452.983,962176559319.0,1401718169857.0,181446411879.0,25674311928.0,2571015452983.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,976.447.667.977,623.840.304.568,241.919.220.570,5.914.985.093,1.848.122.178.208,976447667977.0,623840304568.0,241919220570.0,5914985093.0,1848122178208.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.002.241.193.716,573.541.936.269,228.872.822.041,35.382.800.239,1.840.038.752.265,1002241193716.0,573541936269.0,228872822041.0,35382800239.0,1840038752265.0
