row_label_raw,row_label_full,Số dư đầu năm,2025 > Chênh lệch tạm thời VND > 58.872.498.497,2025 > Giá trị thuế VND > 5.887.249.850,2025 > Lỗ tính thuế VND > 1.818.600.248.536,2025 > Giá trị thuế VND > 308.184.284.059,numeric__2025 > Chênh lệch tạm thời VND > 58.872.498.497,numeric__2025 > Giá trị thuế VND > 5.887.249.850,numeric__2025 > Lỗ tính thuế VND > 1.818.600.248.536,numeric__2025 > Giá trị thuế VND > 308.184.284.059
Hoàn nhập chênh lệch tạm thời,Hoàn nhập chênh lệch tạm thời,Hoàn nhập chênh lệch tạm thời,(58.872.498.497),(5.887.249.850),-,-,-58872498497.0,-5887249850.0,,
Phát sinh chênh lệch tạm thời,Phát sinh chênh lệch tạm thời,Phát sinh chênh lệch tạm thời,40.137.161.601,8.027.432.320,-,-,40137161601.0,8027432320.0,,
Lỗ tính thuế không được chuyển tiếp,Lỗ tính thuế không được chuyển tiếp,Lỗ tính thuế không được chuyển tiếp,-,-,(43.503.413.023),(4.350.341.302),,,-43503413023.0,-4350341302.0
Lỗ tính thuế hết hiệu lực,Lỗ tính thuế hết hiệu lực,Lỗ tính thuế hết hiệu lực,-,-,(90.073.988.845),(10.808.878.661),,,-90073988845.0,-10808878661.0
Lỗ tính thuế đã được sử dụng,Lỗ tính thuế đã được sử dụng,Lỗ tính thuế đã được sử dụng,-,-,(300.735.067.351),(31.772.274.089),,,-300735067351.0,-31772274089.0
Lỗ tính thuế phát sinh trong năm,Lỗ tính thuế phát sinh trong năm,Lỗ tính thuế phát sinh trong năm,-,-,86.381.770.725,20.820.589.673,,,86381770725.0,20820589673.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,40.137.161.601,8.027.432.320,1.470.669.550.042,282.073.379.680,40137161601.0,8027432320.0,1470669550042.0,282073379680.0
,,,2024,2024,2024,2024,2024.0,2024.0,2024.0,2024.0
,,,Chênh lệch tạm thời VND,Giá trị thuế VND,Lỗ tính thuế VND,Giá trị thuế VND,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,-,1.292.590.397.812,227.698.408.099,,,1292590397812.0,227698408099.0
Phát sinh và hoàn nhập chênh lệch tạm thời,Phát sinh và hoàn nhập chênh lệch tạm thời,Phát sinh và hoàn nhập chênh lệch tạm thời,58.872.498.497,5.887.249.850,-,-,58872498497.0,5887249850.0,,
Lỗ tính thuế hết hiệu lực,Lỗ tính thuế hết hiệu lực,Lỗ tính thuế hết hiệu lực,-,-,(37.827.293.027),(3.782.729.303),,,-37827293027.0,-3782729303.0
Lỗ tính thuế phát sinh trong năm,Lỗ tính thuế phát sinh trong năm,Lỗ tính thuế phát sinh trong năm,-,-,563.837.143.751,84.268.605.263,,,563837143751.0,84268605263.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,58.872.498.497,5.887.249.850,1.818.600.248.536,308.184.284.059,58872498497.0,5887249850.0,1818600248536.0,308184284059.0
