row_label_raw,row_label_full,col_0,1/1/2025VND,Biến động trong năm > TăngVND,Biến động trong năm > GiảmVND,Chênh lệchdo đánh giá lạiVND,31/12/2025VND,numeric__1/1/2025VND,numeric__Biến động trong năm > TăngVND,numeric__Biến động trong năm > GiảmVND,numeric__Chênh lệchdo đánh giá lạiVND,numeric__31/12/2025VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,3.022.537.546.552,13.462.165.250.253,(12.216.482.661.140),(4.019.055.551),4.264.201.080.114,3022537546552.0,13462165250253.0,-12216482661140.0,-4019055551.0,4264201080114.0
Vay dài hạn đến hạn trả(Thuyết minh 18(b)),Vay dài hạn đến hạn trả(Thuyết minh 18(b)),Vay dài hạn đến hạn trả(Thuyết minh 18(b)),89.746.122.129,159.607.086.485,(124.349.386.331),-,125.003.822.283,89746122129.0,159607086485.0,-124349386331.0,,125003822283.0
,,,3.112.283.668.681,13.621.772.336.738,(12.340.832.047.471),(4.019.055.551),4.389.204.902.397,3112283668681.0,13621772336738.0,-12340832047471.0,-4019055551.0,4389204902397.0
Số có khả năng trả nợ,Số có khả năng trả nợ,Số có khả năng trả nợ,3.112.283.668.681,,,,4.389.204.902.397,3112283668681.0,,,,4389204902397.0
