row_label_raw,row_label_full,Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau (*),Loại tiền > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau (*),Lãi suất năm > 2025 > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau (*),Lãi suất năm > 2024 > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau (*),31/12/2025 VND > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau (*),1/1/2025 VND > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau (*),numeric__Loại tiền > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau (*),numeric__Lãi suất năm > 2025 > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau (*),numeric__Lãi suất năm > 2024 > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau (*),numeric__31/12/2025 VND > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau (*),numeric__1/1/2025 VND > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau (*)
▪ Khoản vay 1,▪ Khoản vay 1,▪ Khoản vay 1,VND,"3,40% - 4,60%","3,20% - 3,80%",1.316.365.977.653,344.206.733.587,,,,1316365977653.0,344206733587.0
▪ Khoản vay 2,▪ Khoản vay 2,▪ Khoản vay 2,VND,"4,00% - 4,60%","3,60% - 4,00%",1.164.273.764.430,209.258.460.783,,,,1164273764430.0,209258460783.0
▪ Khoản vay 3,▪ Khoản vay 3,▪ Khoản vay 3,USD,"3,65% - 4,30%","3,80% - 4,00%",417.488.462.057,817.317.870.236,,,,417488462057.0,817317870236.0
▪ Khoản vay 4,▪ Khoản vay 4,▪ Khoản vay 4,USD,"3,65% - 4,30%","3,90% - 4,00%",82.014.630.442,697.650.708.421,,,,82014630442.0,697650708421.0
Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau (*),Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau (*),Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau (*),Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau (*),Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau (*),Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau (*),Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau (*),Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau (*),,,,,
▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau (*) > ▪ Khoản vay 1,▪ Khoản vay 1,VND,"4,40% - 4,90%",-,441.152.267.753,-,,,,441152267753.0,
▪ Khoản vay 2,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau (*) > ▪ Khoản vay 2,▪ Khoản vay 2,VND,"4,10% - 4,30%",-,137.200.000.000,-,,,,137200000000.0,
▪ Khoản vay 3,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau (*) > ▪ Khoản vay 3,▪ Khoản vay 3,USD,"3,40% - 4,60%","3,50% - 3,80%",46.133.580.346,391.719.803.534,,,,46133580346.0,391719803534.0
▪ Khoản vay 4,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau (*) > ▪ Khoản vay 4,▪ Khoản vay 4,USD,-,"3,70% - 3,90%",-,172.094.703.805,,,,,172094703805.0
Ngân hàng Thương mại Cổ phần Quân đội – Chi nhánh Cà Mau (**),Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau (*) > Ngân hàng Thương mại Cổ phần Quân đội – Chi nhánh Cà Mau (**),Ngân hàng Thương mại Cổ phần Quân đội – Chi nhánh Cà Mau (**),USD,"4,20%",-,30.805.215.703,-,,0.042,,30805215703.0,
Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam – Chi nhánh Cà Mau (*),Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam – Chi nhánh Cà Mau (*),Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam – Chi nhánh Cà Mau (*),Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam – Chi nhánh Cà Mau (*),Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam – Chi nhánh Cà Mau (*),Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam – Chi nhánh Cà Mau (*),Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam – Chi nhánh Cà Mau (*),Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam – Chi nhánh Cà Mau (*),,,,,
▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam – Chi nhánh Cà Mau (*) > ▪ Khoản vay 1,▪ Khoản vay 1,VND,"4,60%","3,50% - 4,00%",33.418.822.874,181.572.011.474,,0.046,,33418822874.0,181572011474.0
▪ Khoản vay 2,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam – Chi nhánh Cà Mau (*) > ▪ Khoản vay 2,▪ Khoản vay 2,VND,"4,60% - 4,85%",-,34.802.721.525,-,,,,34802721525.0,
▪ Khoản vay 3,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam – Chi nhánh Cà Mau (*) > ▪ Khoản vay 3,▪ Khoản vay 3,USD,"4,50% - 4,10%","3,60% - 3,90%",263.925.193.976,74.498.544.663,,,,263925193976.0,74498544663.0
▪ Khoản vay 4,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam – Chi nhánh Cà Mau (*) > ▪ Khoản vay 4,▪ Khoản vay 4,USD,"3,90% - 4,10%","3,80% - 4,00%",83.481.490.931,74.201.532.397,,,,83481490931.0,74201532397.0
Ngân hàng Thương mại Cổ phần Á Châu – Chi nhánh Thành phố Hồ Chí Minh (**),Ngân hàng Thương mại Cổ phần Á Châu – Chi nhánh Thành phố Hồ Chí Minh (**),Ngân hàng Thương mại Cổ phần Á Châu – Chi nhánh Thành phố Hồ Chí Minh (**),Ngân hàng Thương mại Cổ phần Á Châu – Chi nhánh Thành phố Hồ Chí Minh (**),Ngân hàng Thương mại Cổ phần Á Châu – Chi nhánh Thành phố Hồ Chí Minh (**),Ngân hàng Thương mại Cổ phần Á Châu – Chi nhánh Thành phố Hồ Chí Minh (**),Ngân hàng Thương mại Cổ phần Á Châu – Chi nhánh Thành phố Hồ Chí Minh (**),Ngân hàng Thương mại Cổ phần Á Châu – Chi nhánh Thành phố Hồ Chí Minh (**),,,,,
▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Á Châu – Chi nhánh Thành phố Hồ Chí Minh (**) > ▪ Khoản vay 1,▪ Khoản vay 1,USD,"3,60% - 4,00%","3,60%",213.138.952.424,60.017.177.652,,,0.036000000000000004,213138952424.0,60017177652.0
,,,,,,4.264.201.080.114,3.022.537.546.552,,,,4264201080114.0,3022537546552.0
