row_label_raw,row_label_full,Bên liên quan,Mối quanhệ,Nội dungnghiệp vụ,Số cuối năm,VNDSố đầu năm,numeric__Mối quanhệ,numeric__Nội dungnghiệp vụ,numeric__Số cuối năm,numeric__VNDSố đầu năm
Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,,,,
Công ty Cổ phầnThế Giới Di Động,Phải thu cho vay ngắn hạn > Công ty Cổ phầnThế Giới Di Động,Công ty Cổ phầnThế Giới Di Động,Công ty con,Cho vay,1.555.800.000.000,115.700.090.000,,,1555800000000.0,115700090000.0
Công ty Cổ phầnBán lẻ An Khang,Phải thu cho vay ngắn hạn > Công ty Cổ phầnBán lẻ An Khang,Công ty Cổ phầnBán lẻ An Khang,Công tyliên kết,Cho vay,80.000.000.000,-,,,80000000000.0,
Công ty TNHHMTV Công nghệThông tin Thế GiớiDi Động,Phải thu cho vay ngắn hạn > Công ty TNHHMTV Công nghệThông tin Thế GiớiDi Động,Công ty TNHHMTV Công nghệThông tin Thế GiớiDi Động,Công ty con,Cho vay,60.575.000.000,65.000.000.000,,,60575000000.0,65000000000.0
TỔNG CỘNG,Phải thu cho vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,,1.696.375.000.000,180.700.090.000,,,1696375000000.0,180700090000.0
Phải thu cho vay dài hạn,Phải thu cho vay dài hạn,Phải thu cho vay dài hạn,Phải thu cho vay dài hạn,Phải thu cho vay dài hạn,Phải thu cho vay dài hạn,Phải thu cho vay dài hạn,,,,
Công ty Cổ phầnThế Giới Di Động,Phải thu cho vay dài hạn > Công ty Cổ phầnThế Giới Di Động,Công ty Cổ phầnThế Giới Di Động,Công ty con,Cho vay,1.126.500.000.000,1.126.500.000.000,,,1126500000000.0,1126500000000.0
Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,,,,
Công ty Cổ phầnThế Giới Di Động,Các khoản phải thu ngắn hạn khác > Công ty Cổ phầnThế Giới Di Động,Công ty Cổ phầnThế Giới Di Động,Công ty con,Lãi cho vayChi hộ,41.154.416.062,1.521.435.629662.968.650,,,41154416062.0,1.5214356296629686e+18
Công ty Cổ phầnThương mạiBách Hóa Xanh,Các khoản phải thu ngắn hạn khác > Công ty Cổ phầnThương mạiBách Hóa Xanh,Công ty Cổ phầnThương mạiBách Hóa Xanh,Công ty con,Tạm ứngChi hộ,--,915.000.000.00018.185.000,,,,9.150000000001819e+19
Công ty TNHHMTV Công nghệThông tin Thế GiớiDi Động,Các khoản phải thu ngắn hạn khác > Công ty TNHHMTV Công nghệThông tin Thế GiớiDi Động,Công ty TNHHMTV Công nghệThông tin Thế GiớiDi Động,Công ty con,Lãi cho vayChi hộ,--,425.647.7414.955.000,,,,4256477414955000.0
Công ty Cổ phầnBán lẻ An Khang,Các khoản phải thu ngắn hạn khác > Công ty Cổ phầnBán lẻ An Khang,Công ty Cổ phầnBán lẻ An Khang,Công tyliên kết,Lãi cho vay,383.232.877,-,,,383232877.0,
TỔNG CỘNG,Các khoản phải thu ngắn hạn khác > TỔNG CỘNG,TỔNG CỘNG,,,41.537.648.939,917.633.192.020,,,41537648939.0,917633192020.0
