row_label_raw,row_label_full,Tên công ty,Địa chỉ,Hoạt động chính,numeric__Địa chỉ,numeric__Hoạt động chính
Công ty Cổ phần Thương mạiBách Hóa Xanh (*),Công ty Cổ phần Thương mạiBách Hóa Xanh (*),Công ty Cổ phần Thương mạiBách Hóa Xanh (*),"Thành phốHồ Chí Minh, Việt Nam",Thương mạithực phẩm,,
Công ty Cổ phầnThế Giới Di Động (*),Công ty Cổ phầnThế Giới Di Động (*),Công ty Cổ phầnThế Giới Di Động (*),"Thành phốHồ Chí Minh, Việt Nam",Thương majsản phẩm điện tử,,
Công ty Cổ phần Thế Giới SốTrần Anh,Công ty Cổ phần Thế Giới SốTrần Anh,Công ty Cổ phần Thế Giới SốTrần Anh,"Thành phố Hà Nội,Việt Nam",Thương majsản phẩm điện tử,,
Công ty TNHH MTV Công nghệThông tin Thế Giới Di Động,Công ty TNHH MTV Công nghệThông tin Thế Giới Di Động,Công ty TNHH MTV Công nghệThông tin Thế Giới Di Động,"Thành phốHồ Chí Minh, Việt Nam",Công nghệthống tin,,
