row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,4.434.961.780.000,515.362.889.700,(808.864.500),1.321.781.397.560,6.271.297.202.760,4434961780000.0,515362889700.0,-808864500.0,1321781397560.0,6271297202760.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,2.149.152.928.470,2.149.152.928.470,,,,2149152928470.0,2149152928470.0
Phát hành cổ phiếu,Năm trước > Phát hành cổ phiếu,Phát hành cổ phiếu,500.000.000,3.755.000.000,-,-,4.255.000.000,500000000.0,3755000000.0,,,4255000000.0
Cổ phiếu quỹ,Năm trước > Cổ phiếu quỹ,Cổ phiếu quỹ,-,-,(4.850.060.000),-,(4.850.060.000),,,-4850060000.0,,-4850060000.0
Trích lập quỹ,Năm trước > Trích lập quỹ,Trích lập quỹ,-,-,-,(10.000.000.000),(10.000.000.000),,,,-10000000000.0,-10000000000.0
Cổ tức công bố,Năm trước > Cổ tức công bố,Cổ tức công bố,-,-,-,(664.179.295.500),(664.179.295.500),,,,-664179295500.0,-664179295500.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,4.435.461.780.000,519.117.889.700,(5.658.924.500),2.796.755.030.530,7.745.675.775.730,4435461780000.0,519117889700.0,-5658924500.0,2796755030530.0,7745675775730.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,4.435.461.780.000,519.117.889.700,(5.658.924.500),2.796.755.030.530,7.745.675.775.730,4435461780000.0,519117889700.0,-5658924500.0,2796755030530.0,7745675775730.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,6.596.667.909.989,6.596.667.909.989,,,,6596667909989.0,6596667909989.0
Phát hành cổ phiếu (*),Năm nay > Phát hành cổ phiếu (*),Phát hành cổ phiếu (*),96.638.090.000,2.903.435.500,5.658.924.500,-,105.200.450.000,96638090000.0,2903435500.0,5658924500.0,,105200450000.0
Mua lại cổ phiếu,Năm nay > Mua lại cổ phiếu,Mua lại cổ phiếu,-,-,(6.040.930.000),-,(6.040.930.000),,,-6040930000.0,,-6040930000.0
Cổ tức công bố (**),Năm nay > Cổ tức công bố (**),Cổ tức công bố (**),-,-,-,(678.908.841.000),(678.908.841.000),,,,-678908841000.0,-678908841000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,4.532.099.870.000,522.021.325.200,(6.040.930.000),8.714.514.099.519,13.762.594.364.719,4532099870000.0,522021325200.0,-6040930000.0,8714514099519.0,13762594364719.0
