row_label_raw,row_label_full,Tên công ty,Trụ sở,Lĩnh vực kinh doanh,Tỷ lệ sở hữu và quyền biểu quyết (%),Tỷ lệ sở hữu và quyền biểu quyết (%)_1,numeric__Trụ sở,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ sở hữu và quyền biểu quyết (%),numeric__Tỷ lệ sở hữu và quyền biểu quyết (%)_1
Tên công ty,Tên công ty,Tên công ty,Trụ sở,Lĩnh vực kinh doanh,Số cuối năm,Số đầu năm,,,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,
Công ty Cổ phầnThế Giới Di Đông,Công ty con > Công ty Cổ phầnThế Giới Di Đông,Công ty Cổ phầnThế Giới Di Đông,"Thành phố Hồ Chí Minh, Việt Nam",Thương mại sản phẩm điện tử,"99,95","99,95",,,99.95,99.95
Công ty Cổ phầnThương mại Bách Hóa Xanh,Công ty con > Công ty Cổ phầnThương mại Bách Hóa Xanh,Công ty Cổ phầnThương mại Bách Hóa Xanh,"Thành phố Hồ Chí Minh, Việt Nam",Thương mại thực phẩm,"99,95","99,95",,,99.95,99.95
Công ty Cổ phần Thế giới Số Trần Anh,Công ty con > Công ty Cổ phần Thế giới Số Trần Anh,Công ty Cổ phần Thế giới Số Trần Anh,"Thành phố Hà Nội, Việt Nam",Thương mại sản phẩm điện tử,"99,33","99,33",,,99.33,99.33
Công ty TNHH MTVCông nghệ Thông tinThế Giới Di Đông,Công ty con > Công ty TNHH MTVCông nghệ Thông tinThế Giới Di Đông,Công ty TNHH MTVCông nghệ Thông tinThế Giới Di Đông,"Thành phố Hồ Chí Minh, Việt Nam",Công nghệ thông tin,"100,00","100,00",,,100.0,100.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
Công ty Cổ phần Bán lẻAn Khang,Công ty liên kết > Công ty Cổ phần Bán lẻAn Khang,Công ty Cổ phần Bán lẻAn Khang,"Thành phố Hồ Chí Minh, Việt Nam",Bán lẻ được phẩm,"49,00","49,00",,,49.0,49.0
