row_label_raw,row_label_full,Trái chủ > Công ty TNHH Manulife (Việt Nam) > Công ty TNHH Bảo hiểm Nhân thọ Prudential Việt Nam > Công ty TNHH Bảo hiểm Nhân thọ AIA (Việt Nam) > Công ty TNHH Bảo hiểm Nhân thọ Chubb Việt Nam > Công ty TNHH Bảo hiểm Nhân thọ Sun Life Việt Nam,Số cuối năm VND > 480.000.000.000 > 470.000.000.000 > 100.000.000.000 > 45.000.000.000 > 40.000.000.000,"Lãi suất (%/năm) > 6,55",Ngày đáo hạn > 17 Tháng 11 năm 2022,Mục đích > Tài trợ vốn lưu động,Tài sản đảm bảo > Tín chấp,numeric__Số cuối năm VND > 480.000.000.000 > 470.000.000.000 > 100.000.000.000 > 45.000.000.000 > 40.000.000.000,"numeric__Lãi suất (%/năm) > 6,55",numeric__Ngày đáo hạn > 17 Tháng 11 năm 2022,numeric__Mục đích > Tài trợ vốn lưu động,numeric__Tài sản đảm bảo > Tín chấp
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(8.323.333.347),,,,,-8323333347.0,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.126.676.666.653,,,,,1126676666653.0,,,,
