row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2017,Cho vay khách hàng - gộpTriệu VND,Tiền gửi của khách hàngTriệu VND,Nợ tiềm tàng và các cam kết tín dụngTriệu VND,Công cụ tài chínhphái sinhTriệu VND,Kinh doanh và đầu tư chứng khoán - gộpTriệu VND,numeric__Cho vay khách hàng - gộpTriệu VND,numeric__Tiền gửi của khách hàngTriệu VND,numeric__Nợ tiềm tàng và các cam kết tín dụngTriệu VND,numeric__Công cụ tài chínhphái sinhTriệu VND,numeric__Kinh doanh và đầu tư chứng khoán - gộpTriệu VND
Trong nước,Trong nước,Trong nước,180.444.523,218.953.413,83.178.528,47.581.814,53.876.918,180444523.0,218953413.0,83178528.0,47581814.0,53876918.0
Nước ngoài,Nước ngoài,Nước ngoài,3.743.619,1.222.609,-,-,-,3743619.0,1222609.0,,,
,,,184.188.142,220.176.022,83.178.528,47.581.814,53.876.918,184188142.0,220176022.0,83178528.0,47581814.0,53876918.0
Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,Cho vay khách hàng - gộpTriệu VND,Tiền gửi của khách hàngTriệu VND,Nợ tiềm tàng và các cam kết tín dụngTriệu VND,Công cụ tài chínhphái sinhTriệu VND,Kinh doanh và đầu tư chứng khoán - gộpTriệu VND,,,,,
Trong nước,Ngày 31 tháng 12 năm 2016 > Trong nước,Trong nước,147.928.256,194.027.056,74.161.541,17.310.858,55.967.540,147928256.0,194027056.0,74161541.0,17310858.0,55967540.0
Nước ngoài,Ngày 31 tháng 12 năm 2016 > Nước ngoài,Nước ngoài,2.809.446,785.341,-,-,-,2809446.0,785341.0,,,
,,,150.737.702,194.812.397,74.161.541,17.310.858,55.967.540,150737702.0,194812397.0,74161541.0,17310858.0,55967540.0
