row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ khác,Lợi nhuận chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ khác,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,16.000.000,718.524,1.337.439,676.274,227.978,3.633.134,589.702,23.183.051,16000000.0,718524.0,1337439.0,676274.0,227978.0,3633134.0,589702.0,23183051.0
Tăng vốn từ phát hành cổ phiếu,Tăng vốn từ phát hành cổ phiếu,Tăng vốn từ phát hành cổ phiếu,311.818,109.673,-,-,-,-,-,421.491,311818.0,109673.0,,,,,,421491.0
Tăng vốn do trả cổ tức bằng cổ phiếu,Tăng vốn do trả cổ tức bằng cổ phiếu,Tăng vốn do trả cổ tức bằng cổ phiếu,815.591,-,-,-,-,(815.591),-,-,815591.0,,,,,-815591.0,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,2.911.803,(28.252),2.883.551,,,,,,2911803.0,-28252.0,2883551.0
Trích bổ sung các quỹ cho năm 2015,Trích bổ sung các quỹ cho năm 2015,Trích bổ sung các quỹ cho năm 2015,-,-,252.206,127.141,188.965,(568.312),-,-,,,252206.0,127141.0,188965.0,-568312.0,,
Tạm trích quỹ cho năm 2016,Tạm trích quỹ cho năm 2016,Tạm trích quỹ cho năm 2016,-,-,-,-,43.536,(43.536),-,-,,,,,43536.0,-43536.0,,
Trả cổ tức trong năm bằng tiền mặt,Trả cổ tức trong năm bằng tiền mặt,Trả cổ tức trong năm bằng tiền mặt,-,-,-,-,-,-,(22.185),(22.185),,,,,,,-22185.0,-22185.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(165.843),-,-,(165.843),,,,,-165843.0,,,-165843.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(154.770),-,(154.770),,,,,,-154770.0,,-154770.0
Trích quỹ dự trữ bắt buộc của các chi nhánh nước ngoài,Trích quỹ dự trữ bắt buộc của các chi nhánh nước ngoài,Trích quỹ dự trữ bắt buộc của các chi nhánh nước ngoài,-,-,-,-,755,(755),-,-,,,,,755.0,-755.0,,
Thu hồi tài sản góp vốn tại Công ty Cổ phần Địa ốc MB (*),Thu hồi tài sản góp vốn tại Công ty Cổ phần Địa ốc MB (*),Thu hồi tài sản góp vốn tại Công ty Cổ phần Địa ốc MB (*),-,-,-,-,-,(272.835),-,(272.835),,,,,,-272835.0,,-272835.0
Tăng đo mua Tổng Công Ty Bảo hiểm Cổ phần Bảo hiểm Quân Đội,Tăng đo mua Tổng Công Ty Bảo hiểm Cổ phần Bảo hiểm Quân Đội,Tăng đo mua Tổng Công Ty Bảo hiểm Cổ phần Bảo hiểm Quân Đội,-,-,-,-,10.313,10.199,267.095,287.607,,,,,10313.0,10199.0,267095.0,287607.0
Tăng lợi ích cổ đông không kiểm soát do thay đổi tỷ lệ sở hữu công ty con (Giảm)/tăng vốn và quỹ cho các cổ đông không kiểm soát,Tăng lợi ích cổ đông không kiểm soát do thay đổi tỷ lệ sở hữu công ty con (Giảm)/tăng vốn và quỹ cho các cổ đông không kiểm soát,Tăng lợi ích cổ đông không kiểm soát do thay đổi tỷ lệ sở hữu công ty con (Giảm)/tăng vốn và quỹ cho các cổ đông không kiểm soát,-,-,-,-,-,-,428.379,428.379,,,,,,,428379.0,428379.0
Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,17.127.409,828.197,1.588.748,803.078,305.174,4.699.337,1.236.503,26.588.446,17127409.0,828197.0,1588748.0,803078.0,305174.0,4699337.0,1236503.0,26588446.0
