row_label_raw,row_label_full,Tên công ty,Giấy phép hoạt động,Lĩnh vực hoạt động,Tỷ lệ sở hữu của Ngân hàng,Tỷ lệ sở hữu của Ngân hàng_1,numeric__Giấy phép hoạt động,numeric__Lĩnh vực hoạt động,numeric__Tỷ lệ sở hữu của Ngân hàng,numeric__Tỷ lệ sở hữu của Ngân hàng_1
Tên công ty,Tên công ty,Tên công ty,Giấy phép hoạt động,Lĩnh vực hoạt động,31/12/2017,31/12/2016,,,,
Công ty Tài chính TNHH MB Shinsei (*),Tên công ty > Công ty Tài chính TNHH MB Shinsei (*),Công ty Tài chính TNHH MB Shinsei (*),27/GP-NHNN ngày 04 tháng 02 năm 2016 do Ngân hàng Nhà nước Việt Nam cấp,Tài chính tiêu dùng,"50,00%","100,00%",,,0.5,1.0
Tổng Công ty Cổ phần Bảo hiểm Quân đội (“MIC”),Tên công ty > Tổng Công ty Cổ phần Bảo hiểm Quân đội (“MIC”),Tổng Công ty Cổ phần Bảo hiểm Quân đội (“MIC”),43/GPDC18/KDBH ngày 21 tháng 1 năm 2016 do Bộ Tài Chính cấp,Bảo hiểm phi nhân thọ,"69,58%","69,58%",,,0.6958,0.6958
Công ty TNHH Bảo hiểm nhân thọ MB Ageas,Tên công ty > Công ty TNHH Bảo hiểm nhân thọ MB Ageas,Công ty TNHH Bảo hiểm nhân thọ MB Ageas,74/GP/KDBH ngày 21 tháng 07 năm 2016 do Bộ Tài Chính cấp,"Bảo hiểm nhân thọ, bảo hiểm sức khỏe và đầu tư tài chính","61,00%","61,00%",,,0.61,0.61
Công ty Cổ phần Tổng Công ty MBLand (“MB Land”)(**),Tên công ty > Công ty Cổ phần Tổng Công ty MBLand (“MB Land”)(**),Công ty Cổ phần Tổng Công ty MBLand (“MB Land”)(**),0102631822 ngày 21 tháng 12 năm 2016 do Sở Kế hoạch và Đầu tư Hà Nội cấp,Kinh doanh bất động sản,"65,29%","65,29%",,,0.6529,0.6529
Công ty Cổ phần Việt REMAX (***),Tên công ty > Công ty Cổ phần Việt REMAX (***),Công ty Cổ phần Việt REMAX (***),0304136549 ngày 8 tháng 2 năm 2010 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp,"Đầu tư xây dựng công trình khu dân cư, cao ốc văn phòng","0,00%","65,29%",,,0.0,0.6529
