row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017(Triệu VND),Quá hạn,Khônghuống lãi,Đến1 tháng,Từ trên 1đến 3 tháng,Từ trên 3đến 6 tháng,Từ trên 6đến 12tháng,Trên 1 năm,Tổng cộng,numeric__Quá hạn,numeric__Khônghuống lãi,numeric__Đến1 tháng,numeric__Từ trên 1đến 3 tháng,numeric__Từ trên 3đến 6 tháng,numeric__Từ trên 6đến 12tháng,numeric__Trên 1 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.842.032,-,-,-,-,-,1.842.032,,1842032.0,,,,,,1842032.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,6.683.682,-,-,-,-,6.683.682,,,6683682.0,,,,,6683682.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,196.000,-,31.997.238,13.195.508,5.649.712,637.472,2.017.472,53.693.402,196000.0,,31997238.0,13195508.0,5649712.0,637472.0,2017472.0,53693402.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,2.839.964,-,-,-,-,-,2.839.964,,2839964.0,,,,,,2839964.0
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,-,-,121.592,-,-,-,-,121.592,,,121592.0,,,,,121592.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,5.255.354,-,56.331.049,102.993.672,9.656.414,7.136.664,2.814.989,184.188.142,5255354.0,,56331049.0,102993672.0,9656414.0,7136664.0,2814989.0,184188142.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,200.000,422.653,118.997,299.901,959.849,1.489.131,47.546.423,51.036.954,200000.0,422653.0,118997.0,299901.0,959849.0,1489131.0,47546423.0,51036954.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",32.530,1.081.678,-,-,-,-,-,1.114.208,32530.0,1081678.0,,,,,,1114208.0
Tài sản cố định và bắt động sản đầu tư,Tài sản > Tài sản cố định và bắt động sản đầu tư,Tài sản cố định và bắt động sản đầu tư,-,2.697.243,-,-,-,-,-,2.697.243,,2697243.0,,,,,,2697243.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,990.955,12.442.023,-,-,-,-,-,13.432.978,990955.0,12442023.0,,,,,,13432978.0
,,,6.674.839,21.325.593,95.252.558,116.489.081,16.265.975,9.263.267,52.378.884,317.650.197,6674839.0,21325593.0,95252558.0,116489081.0,16265975.0,9263267.0,52378884.0,317650197.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,1.847.879,-,-,-,-,1.847.879,,,1847879.0,,,,,1847879.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,35.210.040,8.031.207,1.413.902,1.257.704,188.304,46.101.157,,,35210040.0,8031207.0,1413902.0,1257704.0,188304.0,46101157.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,127.519.561,20.151.557,26.247.281,20.208.439,26.049.184,220.176.022,,,127519561.0,20151557.0,26247281.0,20208439.0,26049184.0,220176022.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro",-,-,68,-,2.004,1.711,293.217,297.000,,,68.0,,2004.0,1711.0,293217.0,297000.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,-,6.022.222,6.022.222,,,,,,,6022222.0,6022222.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,9.832.378,-,-,-,-,-,9.832.378,,9832378.0,,,,,,9832378.0
,,,-,9.832.378,164.577.548,28.182.764,27.663.187,21.467.854,32.552.927,284.276.658,,9832378.0,164577548.0,28182764.0,27663187.0,21467854.0,32552927.0,284276658.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,6.674.839,11.493.215,(69.324.990),88.306.317,(11.397.212),(12.204.587),19.825.957,33.373.539,6674839.0,11493215.0,-69324990.0,88306317.0,-11397212.0,-12204587.0,19825957.0,33373539.0
