row_label_raw,row_label_full,col_0,Số dư,Số dư_1,numeric__Số dư,numeric__Số dư_1
,,,31/12/2017Triệu VNDPhải thu/(Phải trả),31/12/2016Triệu VNDPhải thu/(Phải trả),,
Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,,
Tiền gửi tại Ngân hàng,Cổ đông lớn > Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,(14.684.594),(9.808.305),-14684594.0,-9808305.0
Tiền Ngân hàng cho vay,Cổ đông lớn > Tiền Ngân hàng cho vay,Tiền Ngân hàng cho vay,2.302.647,2.377.649,2302647.0,2377649.0
Tiền Ngân hàng vay,Cổ đông lớn > Tiền Ngân hàng vay,Tiền Ngân hàng vay,(2.000.000),(3.700.000),-2000000.0,-3700000.0
Tiền Ngân hàng gửi,Cổ đông lớn > Tiền Ngân hàng gửi,Tiền Ngân hàng gửi,3.906.790,2.603.123,3906790.0,2603123.0
Phát hành giấy tờ có giá,Cổ đông lớn > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,(2.000.000),(2.000.000),-2000000.0,-2000000.0
,,,Giao dịch,Giao dịch,,
,,,2017Triệu VND,2016Triệu VND,,
Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,,
Chi phí lãi tiền gửi,Cổ đông lớn > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,(438.766),(678.073),-438766.0,-678073.0
Chi phí lãi tiền vay,Cổ đông lớn > Chi phí lãi tiền vay,Chi phí lãi tiền vay,(239.930),(226.230),-239930.0,-226230.0
Chi phí lãi từ giấy tờ có giá đã phát hành,Cổ đông lớn > Chi phí lãi từ giấy tờ có giá đã phát hành,Chi phí lãi từ giấy tờ có giá đã phát hành,(240.000),(238.000),-240000.0,-238000.0
Thu nhập lãi tiền gửi,Cổ đông lớn > Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,603,10.093,603.0,10093.0
Thu nhập lãi tiền vay,Cổ đông lớn > Thu nhập lãi tiền vay,Thu nhập lãi tiền vay,268.215,304.058,268215.0,304058.0
