row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm2017,Khách hàngcá nhân và doanhnghiệpTriệu VND,Đầu tư > Triệu VND,Hoạt động liênngân hàng > Triệu VND,Khối quản lýtài sản > Triệu VND,Hoạt động kinhdoanh bảo hiểm > Triệu VND,Hoạt động chungkhông phân bổ > Triệu VND,Tổng cộng > Triệu VND,numeric__Khách hàngcá nhân và doanhnghiệpTriệu VND,numeric__Đầu tư > Triệu VND,numeric__Hoạt động liênngân hàng > Triệu VND,numeric__Khối quản lýtài sản > Triệu VND,numeric__Hoạt động kinhdoanh bảo hiểm > Triệu VND,numeric__Hoạt động chungkhông phân bổ > Triệu VND,numeric__Tổng cộng > Triệu VND
Tải sản,Tải sản,Tải sản,182.849.718,50.629.713,52.843.813,3.294.559,4.156.801,20.103.224,313.877.828,182849718.0,50629713.0,52843813.0,3294559.0,4156801.0,20103224.0,313877828.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,224.534.165,5.245.955,46.132.461,704.757,2.423.419,5.235.901,284.276.658,224534165.0,5245955.0,46132461.0,704757.0,2423419.0,5235901.0,284276658.0
Tải sản cố định – thuần,Tải sản cố định – thuần,Tải sản cố định – thuần,-,-,-,39.038,218.217,2.347.205,2.604.460,,,,39038.0,218217.0,2347205.0,2604460.0
2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0
Doanh thu,Doanh thu,Doanh thu,6.840.388,2.738.391,1.092.897,11.058.725,2.084.866,1.324.994,25.140.261,6840388.0,2738391.0,1092897.0,11058725.0,2084866.0,1324994.0,25140261.0
Chi phí,Chi phí,Chi phí,4.215.396,517.208,1.052.557,10.684.876,2.252.292,1.802.206,20.524.535,4215396.0,517208.0,1052557.0,10684876.0,2252292.0,1802206.0,20524535.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,2.624.992,2.221.183,40.340,373.849,(167.426),(477.212),4.615.726,2624992.0,2221183.0,40340.0,373849.0,-167426.0,-477212.0,4615726.0
Tại ngày 31 tháng 12 năm2016,Tại ngày 31 tháng 12 năm2016,Tại ngày 31 tháng 12 năm2016,Khách hàngcá nhân và doanhnghiệpTriệu VND,Đầu tư,Hoạt động liênngân hàng,Khối quản lýtài sản,Hoạt động kinhdoanh bảo hiểm,Hoạt động chungkhông phân bổ,Tổng cộng,,,,,,,
Tại ngày 31 tháng 12 năm2016,Tại ngày 31 tháng 12 năm2016,Tại ngày 31 tháng 12 năm2016,Khách hàngcá nhân và doanhnghiệpTriệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,
Tải sản,Tại ngày 31 tháng 12 năm2016 > Tải sản,Tải sản,152.434.049,51.939.271,24.554.912,2.145.154,4.020.337,21.164.777,256.258.500,152434049.0,51939271.0,24554912.0,2145154.0,4020337.0,21164777.0,256258500.0
Nợ phải trả,Tại ngày 31 tháng 12 năm2016 > Nợ phải trả,Nợ phải trả,197.421.284,2.000.000,24.140.703,932.115,2.100.129,3.075.823,229.670.054,197421284.0,2000000.0,24140703.0,932115.0,2100129.0,3075823.0,229670054.0
Tải sản cố định – thuần,Tại ngày 31 tháng 12 năm2016 > Tải sản cố định – thuần,Tải sản cố định – thuần,-,-,-,35.536,137.314,2.284.994,2.457.844,,,,35536.0,137314.0,2284994.0,2457844.0
2016,Tại ngày 31 tháng 12 năm2016 > 2016,2016,2016,2016,2016,2016,2016,2016,2016,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0
Doanh thu,Tại ngày 31 tháng 12 năm2016 > Doanh thu,Doanh thu,5.467.195,2.444.694,1.107.884,519.855,270.576,8.275.047,18.085.251,5467195.0,2444694.0,1107884.0,519855.0,270576.0,8275047.0,18085251.0
Chi phí,Tại ngày 31 tháng 12 năm2016 > Chi phí,Chi phí,247.020,313.249,585.055,475.833,287.691,12.525.818,14.434.666,247020.0,313249.0,585055.0,475833.0,287691.0,12525818.0,14434666.0
Lợi nhuận trước thuế,Tại ngày 31 tháng 12 năm2016 > Lợi nhuận trước thuế,Lợi nhuận trước thuế,5.220.175,2.131.445,522.829,44.022,(17.115),(4.250.771),3.650.585,5220175.0,2131445.0,522829.0,44022.0,-17115.0,-4250771.0,3650585.0
