row_label_raw,row_label_full,Tên công ty,Giấy phép hoạt động,Lĩnh vực hoạt động,Tỷ lệ sở hữu của Ngân hàng,Tỷ lệ sở hữu của Ngân hàng_1,numeric__Giấy phép hoạt động,numeric__Lĩnh vực hoạt động,numeric__Tỷ lệ sở hữu của Ngân hàng,numeric__Tỷ lệ sở hữu của Ngân hàng_1
Tên công ty,Tên công ty,Tên công ty,Giấy phép hoạt động,Lĩnh vực hoạt động,31/12/2017,31/12/2016,,,,
Công ty Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Quản đội (“MB AMC”),Tên công ty > Công ty Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Quản đội (“MB AMC”),Công ty Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Quản đội (“MB AMC”),0105281799 ngày 11 tháng 7 năm 2014 do Sở kế hoạch và Đầu tư Hà Nội cấp,Quản lý nợ và khai thác tài sản,"100,00%","100,00%",,,1.0,1.0
Công ty Cổ phần Chứng khoán MB (“MBS”),Tên công ty > Công ty Cổ phần Chứng khoán MB (“MBS”),Công ty Cổ phần Chứng khoán MB (“MBS”),116/GP-UBCK ngày 9 tháng 12 năm 2013 do Ủy ban Chứng khoán Nhà nước cấp,Chứng khoán,"79,52%","79,52%",,,0.7951999999999999,0.7951999999999999
Công ty Cổ phần Quản lý Quỹ Đầu tư MB (“MB Cap”),Tên công ty > Công ty Cổ phần Quản lý Quỹ Đầu tư MB (“MB Cap”),Công ty Cổ phần Quản lý Quỹ Đầu tư MB (“MB Cap”),06/GPĐC-UBCK ngày 12 tháng 2 năm 2015 do Ủy Ban Chứng khoán Nhà nước cấp,Quản lý quỹ đầu tư,"90,77%","90,77%",,,0.9077,0.9077
