row_label_raw,row_label_full,Loại tiền tệ,VND tăng giá 1%so với USD và EURTriệu VND,VND giảm giá 1%so với USD và EURTriệu VND,numeric__VND tăng giá 1%so với USD và EURTriệu VND,numeric__VND giảm giá 1%so với USD và EURTriệu VND
USD,USD,USD,8.103,(8.103),8103.0,-8103.0
EUR,EUR,EUR,189,(189),189.0,-189.0
,,,8.292,(8.292),8292.0,-8292.0
Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,,
Loại tiền tệ,Loại tiền tệ,Loại tiền tệ,VND tăng giá 1%so với USD và EURTriệu VND,VND giảm giá 1%so với USD và EURTriệu VND,,
USD,Loại tiền tệ > USD,USD,14.158,(14.158),14158.0,-14158.0
EUR,Loại tiền tệ > EUR,EUR,87,(87),87.0,-87.0
,,,14.245,(14.245),14245.0,-14245.0
