row_label_raw,row_label_full,Loại tiền,Mức tănglãi suất31/12/2017,Ảnh hưởng đếnlợi nhuận sau thuế31/12/2017Triệu VND,numeric__Mức tănglãi suất31/12/2017,numeric__Ảnh hưởng đếnlợi nhuận sau thuế31/12/2017Triệu VND
VND,VND,VND,"2,0%",409.092,0.02,409092.0
USD,USD,USD,"1,0%",(32.133),0.01,-32133.0
Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,,
Loại tiền,Loại tiền,Loại tiền,Mức tănglãi suất31/12/2017,Ảnh hưởng đếnlợi nhuận sau thuế31/12/2017Triệu VND,,
VND,Loại tiền > VND,VND,"2,00%",399.752,0.02,399752.0
USD,Loại tiền > USD,USD,"1,00%",(4.971),0.01,-4971.0
