row_label_raw,row_label_full,col_0,col_1,Thuyết minh,2017 Triệu VND,2016 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__2017 Triệu VND,numeric__2016 Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,25,19.876.026,15.552.477,,25.0,19876026.0,15552477.0
2,2,2,Chi phí lãi và các chi phí tương tự,25,(8.657.074),(7.573.533),,25.0,-8657074.0,-7573533.0
I,I,I,Thu nhập lãi thuần,25,11.218.952,7.978.944,,25.0,11218952.0,7978944.0
3,3,3,Thu nhập từ hoạt động dịch vụ,26,3.222.839,1.297.890,,26.0,3222839.0,1297890.0
4,4,4,Chi phí hoạt động dịch vụ,26,(2.092.163),(615.250),,26.0,-2092163.0,-615250.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,26,1.130.676,682.640,,26.0,1130676.0,682640.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,27,201.772,113.354,,27.0,201772.0,113354.0
V,V,V,"Lãi thuần từ mua bán chứng khoán kinh doanh, chứng khoán đầu tư và góp vốn, đầu tư dài hạn",28,144.445,101.443,,28.0,144445.0,101443.0
5,5,5,Thu nhập từ hoạt động khác,29,1.633.022,1.019.373,,29.0,1633022.0,1019373.0
6,6,6,Chi phí hoạt động khác,29,(523.948),(142.554),,29.0,-523948.0,-142554.0
VI,VI,VI,Lãi thuần từ hoạt động khác,29,1.109.074,876.819,,29.0,1109074.0,876819.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",30,62.157,102.157,,30.0,62157.0,102157.0
VIII,VIII,VIII,Chi phí hoạt động,31,(5.999.239),(4.174.668),,31.0,-5999239.0,-4174668.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro,,7.867.837,5.680.689,,,7867837.0,5680689.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,32,(3.252.111),(2.030.104),,32.0,-3252111.0,-2030104.0
XI,XI,XI,Tổng lợi nhuận trước thuế,,4.615.726,3.650.585,,,4615726.0,3650585.0
7,7,7,Chi phí thuế thu nhập doanh nghiệp hiện hành,33,(1.125.106),(766.870),,33.0,-1125106.0,-766870.0
8,8,8,Chi phí thuế thu nhập doanh nghiệp hoãn lại,33,(205),(164),,33.0,-205.0,-164.0
XII,XII,XII,Chi phí thuế thu nhập doanh nghiệp,33,(1.125.311),(767.034),,33.0,-1125311.0,-767034.0
XIII,XIII,XIII,Lợi nhuận sau thuế,,3.490.415,2.883.551,,,3490415.0,2883551.0
XIV,XIV,XIV,Lợi ích của cổ đông không kiểm soát,,(29.212),(28.252),,,-29212.0,-28252.0
XV,XV,XV,Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),34,1.953,1.625,,34.0,1953.0,1625.0
