row_label_raw,row_label_full,col_0,Giá trị hợp lýthông quaBCKQHĐKDTriệu VND,Giữ đếngàyđáo hạnTriệu VND,Cho vay vàphải thuTriệu VND,Sẵn sàng đểbảnTriệu VND,Hạch toántheo giá trịphân bổTriệu VND,Tổng cộngTriệu VND,Triệu VND,numeric__Giá trị hợp lýthông quaBCKQHĐKDTriệu VND,numeric__Giữ đếngàyđáo hạnTriệu VND,numeric__Cho vay vàphải thuTriệu VND,numeric__Sẵn sàng đểbảnTriệu VND,numeric__Hạch toántheo giá trịphân bổTriệu VND,numeric__Tổng cộngTriệu VND,numeric__Triệu VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,,
Tiền mặt và vàng,Tài sản tài chính > Tiền mặt và vàng,Tiền mặt và vàng,1.519.952,-,-,-,-,1.519.952,1.519.952,1519952.0,,,,,1519952.0,1519952.0
Tiền gửi tại NHNN,Tài sản tài chính > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,10.002.478,-,-,10.002.478,10.002.478,,,10002478.0,,,10002478.0,10002478.0
Tiền gửi và cho vay các TCTD khác,Tài sản tài chính > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,26.952.799,-,-,26.952.799,(*),,,26952799.0,,,26952799.0,
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Tài sản tài chính > Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,53.419,-,-,-,-,53.419,(*),53419.0,,,,,53419.0,
Chứng khoán kinh doanh,Tài sản tài chính > Chứng khoán kinh doanh,Chứng khoán kinh doanh,925.995,-,-,-,-,925.995,(*),925995.0,,,,,925995.0,
Cho vay khách hàng,Tài sản tài chính > Cho vay khách hàng,Cho vay khách hàng,-,-,148.687.389,-,-,148.687.389,(*),,,148687389.0,,,148687389.0,
Chứng khoán đầu tư,Tài sản tài chính > Chứng khoán đầu tư,Chứng khoán đầu tư,-,7.304.604,-,39.455.594,-,46.760.198,(*),,7304604.0,,39455594.0,,46760198.0,
"Góp vốn, đầu tư dài hạn","Tài sản tài chính > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,-,-,842.259,-,842.259,(*),,,,842259.0,,842259.0,
Tài sản tài chính khác,Tài sản tài chính > Tài sản tài chính khác,Tài sản tài chính khác,-,-,6.331.396,-,-,6.331.396,(*),,,6331396.0,,,6331396.0,
,,,2.499.366,7.304.604,191.974.062,40.297.853,-,242.075.885,(*),2499366.0,7304604.0,191974062.0,40297853.0,,242075885.0,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả tài chính > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,24.712.976,24.712.976,(*),,,,,24712976.0,24712976.0,
Tiền gửi của khách hàng,Nợ phải trả tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,194.812.397,194.812.397,(*),,,,,194812397.0,194812397.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Nợ phải trả tài chính > Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro",-,-,-,-,258.170,258.170,(*),,,,,258170.0,258170.0,
Phát hành giấy tờ có giá,Nợ phải trả tài chính > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,2.366.953,2.366.953,(*),,,,,2366953.0,2366953.0,
Các khoản nợ phải trả tài chính khác,Nợ phải trả tài chính > Các khoản nợ phải trả tài chính khác,Các khoản nợ phải trả tài chính khác,-,-,-,-,6.555.975,6.555.975,(*),,,,,6555975.0,6555975.0,
,,,-,-,-,-,228.706.471,228.706.471,(*),,,,,228706471.0,228706471.0,
