row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017 (Triệu VND),Quá hạn đến 3 tháng,Quá hạn trên 3 tháng,Đến 1 tháng,Từ trên 1 đến 3 tháng,Từ trên 3 đến 12 tháng,Từ trên 1 đến 5 năm,Trên 5 năm,Tổng cộng,numeric__Quá hạn đến 3 tháng,numeric__Quá hạn trên 3 tháng,numeric__Đến 1 tháng,numeric__Từ trên 1 đến 3 tháng,numeric__Từ trên 3 đến 12 tháng,numeric__Từ trên 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.842.032,-,-,-,-,1.842.032,,,1842032.0,,,,,1842032.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,6.683.682,-,-,-,-,6.683.682,,,6683682.0,,,,,6683682.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,-,196.000,31.839.238,13.353.508,6.287.184,2.017.472,-,53.693.402,,196000.0,31839238.0,13353508.0,6287184.0,2017472.0,,53693402.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,839.566,-,2.000.398,-,-,2.839.964,,,839566.0,,2000398.0,,,2839964.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,121.592,-,-,-,-,121.592,,,121592.0,,,,,121592.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,3.062.103,2.193.251,13.646.728,34.857.684,54.790.177,45.472.596,30.165.603,184.188.142,3062103.0,2193251.0,13646728.0,34857684.0,54790177.0,45472596.0,30165603.0,184188142.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,200.000,208.997,299.901,2.672.355,35.215.044,12.440.657,51.036.954,,200000.0,208997.0,299901.0,2672355.0,35215044.0,12440657.0,51036954.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,32.530,-,-,-,1.081.678,-,1.114.208,,32530.0,,,,1081678.0,,1114208.0
Tài sản cố định và bắt động sản đầu tư,Tài sản > Tài sản cố định và bắt động sản đầu tư,Tài sản cố định và bắt động sản đầu tư,-,-,-,-,-,2.276.831,420.412,2.697.243,,,,,,2276831.0,420412.0,2697243.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,-,990.955,3.788.147,427.419,7.134.924,1.091.533,-,13.432.978,,990955.0,3788147.0,427419.0,7134924.0,1091533.0,,13432978.0
,,,3.062.103,3.612.736,58.969.982,48.938.512,72.885.038,87.155.154,43.026.672,317.650.197,3062103.0,3612736.0,58969982.0,48938512.0,72885038.0,87155154.0,43026672.0,317650197.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,1.847.879,-,-,-,-,1.847.879,,,1847879.0,,,,,1847879.0
Tiền gửi và cho vay các TCTD khác,Nợ phải trả > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,35.210.040,8.031.207,2.671.606,164.284,24.020,46.101.157,,,35210040.0,8031207.0,2671606.0,164284.0,24020.0,46101157.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,66.347.908,17.336.734,51.373.961,85.112.442,4.977,220.176.022,,,66347908.0,17336734.0,51373961.0,85112442.0,4977.0,220176022.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,68,-,3.715,264.337,28.880,297.000,,,68.0,,3715.0,264337.0,28880.0,297000.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,6.022.222,-,6.022.222,,,,,,6022222.0,,6022222.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,6.391.728,876.254,2.564.396,-,-,9.832.378,,,6391728.0,876254.0,2564396.0,,,9832378.0
,,,-,-,109.797.623,26.244.195,56.613.678,91.563.285,57.877,284.276.658,,,109797623.0,26244195.0,56613678.0,91563285.0,57877.0,284276658.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,3.062.103,3.612.736,(50.827.641),22.694.317,16.271.360,(4.408.131),42.968.795,33.373.539,3062103.0,3612736.0,-50827641.0,22694317.0,16271360.0,-4408131.0,42968795.0,33373539.0
