row_label_raw,row_label_full,col_0,Chi phíbảo dưỡngmáy bayVND,Chi phíhoàn tràtài sản thuêVND,Chi phíkiểm tra vàsửa chữa lớnVND,"Phụ tùng xoay vòng,công cụ vàdụng cụVND",TổngVND,numeric__Chi phíbảo dưỡngmáy bayVND,numeric__Chi phíhoàn tràtài sản thuêVND,numeric__Chi phíkiểm tra vàsửa chữa lớnVND,"numeric__Phụ tùng xoay vòng,công cụ vàdụng cụVND",numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,2.247.148.148.287,142.173.066.533,140.064.199.458,196.630.229.782,2.726.015.644.060,2247148148287.0,142173066533.0,140064199458.0,196630229782.0,2726015644060.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,1.178.269.279.439,61.816.749.558,135.304.649.002,174.488.437.268,1.549.879.115.267,1178269279439.0,61816749558.0,135304649002.0,174488437268.0,1549879115267.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(322.052.554.797),(31.917.515.187),(108.847.091.444),(160.209.216.635),(623.026.378.063),-322052554797.0,-31917515187.0,-108847091444.0,-160209216635.0,-623026378063.0
Xóa số trong năm,Xóa số trong năm,Xóa số trong năm,(305.542.382.713),-,-,-,(305.542.382.713),-305542382713.0,,,,-305542382713.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,2.797.822.490.216,172.072.300.904,166.521.757.016,210.909.450.415,3.347.325.998.551,2797822490216.0,172072300904.0,166521757016.0,210909450415.0,3347325998551.0
