row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Lợi nhuận chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,800.000.000.000,133.294.335.437,933.294.335.437,800000000000.0,133294335437.0,933294335437.0
Cổ tức bằng cổ phiếu(Thuyết minh 24),Cổ tức bằng cổ phiếu(Thuyết minh 24),Cổ tức bằng cổ phiếu(Thuyết minh 24),200.000.000.000,(200.000.000.000),-,200000000000.0,-200000000000.0,
Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,450.000.000.000,-,450.000.000.000,450000000000.0,,450000000000.0
Cổ tức (Thuyết minh 24),Cổ tức (Thuyết minh 24),Cổ tức (Thuyết minh 24),-,(450.000.000.000),(450.000.000.000),,-450000000000.0,-450000000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,651.229.307.805,651.229.307.805,,651229307805.0,651229307805.0
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,1.450.000.000.000,134.523.643.242,1.584.523.643.242,1450000000000.0,134523643242.0,1584523643242.0
Cổ tức bằng cổ phiếu(Thuyết minh 24),Cổ tức bằng cổ phiếu(Thuyết minh 24),Cổ tức bằng cổ phiếu(Thuyết minh 24),978.500.000.000,(978.500.000.000),-,978500000000.0,-978500000000.0,
Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,571.500.000.000,-,571.500.000.000,571500000000.0,,571500000000.0
Cổ tức (Thuyết minh 24),Cổ tức (Thuyết minh 24),Cổ tức (Thuyết minh 24),-,(500.000.000.000),(500.000.000.000),,-500000000000.0,-500000000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,1.415.948.761.728,1.415.948.761.728,,1415948761728.0,1415948761728.0
Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,3.000.000.000.000,71.972.404.970,3.071.972.404.970,3000000000000.0,71972404970.0,3071972404970.0
