row_label_raw,row_label_full,Công ty,Nơi thành lập,Giấy phépKinh doanh,Các hoạt động chính,numeric__Nơi thành lập,numeric__Giấy phépKinh doanh,numeric__Các hoạt động chính
Công ty conCông ty Cổ phầnVietjet Air Cargo,Công ty conCông ty Cổ phầnVietjet Air Cargo,Công ty conCông ty Cổ phầnVietjet Air Cargo,Việt Nam,Số 0312759089 ngày27 tháng 8 năm 2014,Cung cấp dịch vụ vận chuyển hàng hóa và dịch vụ liên quan.,,,
Vietjet Air IVB No. I Limited (**),Vietjet Air IVB No. I Limited (**),Vietjet Air IVB No. I Limited (**),British Virgin Islands,Số 1825671 ngày 27 tháng 5 năm 2014,Kinh doanh máy bay.,,,
Vietjet Air IVB No. II Limited (**),Vietjet Air IVB No. II Limited (**),Vietjet Air IVB No. II Limited (**),British Virgin Islands,Số 1825613 ngày 27 tháng 5 năm 2014,Kinh doanh máy bay.,,,
Vietjet Air Singapore Pte. Ltd. (**),Vietjet Air Singapore Pte. Ltd. (**),Vietjet Air Singapore Pte. Ltd. (**),Singapore,Số 201408849N ngày27 tháng 3 năm 2014,Kinh doanh máy bay.,,,
Vietjet Air Ireland No. 1 Limited (**),Vietjet Air Ireland No. 1 Limited (**),Vietjet Air Ireland No. 1 Limited (**),Ireland,Số 544879 ngày 3 tháng 6 năm 2014,Kinh doanh máy bay.,,,
Công ty liên kếtThai Vietjet Air Joint Stock Company Limited (**) (***),Công ty liên kếtThai Vietjet Air Joint Stock Company Limited (**) (***),Công ty liên kếtThai Vietjet Air Joint Stock Company Limited (**) (***),Thái Lan,Số 0105556100551 ngày 25 tháng 6 năm 2013,"Cung cấp dịch vụ vận chuyển và chuyển giao hàng hóa và hành khách, tổ chức các chuyển du lịch và các dịch vụ liên quan khác.",,,
Công ty Cổ phần Nhà ga Quốc tế Cam Ranh (***),Công ty Cổ phần Nhà ga Quốc tế Cam Ranh (***),Công ty Cổ phần Nhà ga Quốc tế Cam Ranh (***),Việt Nam,Số 4201676638 ngày5 tháng 2 năm 2016,Hoạt động dịch vụ hỗ trợ trực tiếp cho vận tải hàng không,,,
