row_label_raw,row_label_full,col_0,Máy bay và các bộ phận VND,Máy móc và thiết bị VND,Thiết bị văn phòng VND,Phương tiện vận chuyển VND,Tổng VND,numeric__Máy bay và các bộ phận VND,numeric__Máy móc và thiết bị VND,numeric__Thiết bị văn phòng VND,numeric__Phương tiện vận chuyển VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,-,11.849.962.336,14.634.698.307,13.055.597.977,39.540.258.620,,11849962336.0,14634698307.0,13055597977.0,39540258620.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,101.290.631.452,45.398.507.608,659.242.211,1.882.793.489,149.231.174.760,101290631452.0,45398507608.0,659242211.0,1882793489.0,149231174760.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,913.682.191.969,-,-,-,913.682.191.969,913682191969.0,,,,913682191969.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.014.972.823.421,57.248.469.944,15.293.940.518,14.938.391.466,1.102.453.625.349,1014972823421.0,57248469944.0,15293940518.0,14938391466.0,1102453625349.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,6.911.848.515,9.941.239.156,5.009.036.656,21.862.124.327,,6911848515.0,9941239156.0,5009036656.0,21862124327.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,30.816.828.145,6.099.238.838,1.282.281.679,2.624.314.684,40.822.663.346,30816828145.0,6099238838.0,1282281679.0,2624314684.0,40822663346.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,30.816.828.145,13.011.087.353,11.223.520.835,7.633.351.340,62.684.787.673,30816828145.0,13011087353.0,11223520835.0,7633351340.0,62684787673.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,-,4.938.113.821,4.693.459.151,8.046.561.321,17.678.134.293,,4938113821.0,4693459151.0,8046561321.0,17678134293.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,984.155.995.276,44.237.382.591,4.070.419.683,7.305.040.126,1.039.768.837.676,984155995276.0,44237382591.0,4070419683.0,7305040126.0,1039768837676.0
