row_label_raw,row_label_full,Bên cho vay,Loại tiền,Lãi suất năm,31/12/2016 VND,1/1/2016 VND,numeric__Loại tiền,numeric__Lãi suất năm,numeric__31/12/2016 VND,numeric__1/1/2016 VND
Ngân hàng Thương mại Cổ phần Phát triển Nhà Thành phố Hồ Chí Minh (“HDBank”) – Hội sở (a),Ngân hàng Thương mại Cổ phần Phát triển Nhà Thành phố Hồ Chí Minh (“HDBank”) – Hội sở (a),Ngân hàng Thương mại Cổ phần Phát triển Nhà Thành phố Hồ Chí Minh (“HDBank”) – Hội sở (a),Ngân hàng Thương mại Cổ phần Phát triển Nhà Thành phố Hồ Chí Minh (“HDBank”) – Hội sở (a),Ngân hàng Thương mại Cổ phần Phát triển Nhà Thành phố Hồ Chí Minh (“HDBank”) – Hội sở (a),Ngân hàng Thương mại Cổ phần Phát triển Nhà Thành phố Hồ Chí Minh (“HDBank”) – Hội sở (a),Ngân hàng Thương mại Cổ phần Phát triển Nhà Thành phố Hồ Chí Minh (“HDBank”) – Hội sở (a),,,,
Khoản vay 1,Ngân hàng Thương mại Cổ phần Phát triển Nhà Thành phố Hồ Chí Minh (“HDBank”) – Hội sở (a) > Khoản vay 1,Khoản vay 1,VND,"2,4% – 5,5%",106.812.385.443,-,,,106812385443.0,
Khoản vay 2,Ngân hàng Thương mại Cổ phần Phát triển Nhà Thành phố Hồ Chí Minh (“HDBank”) – Hội sở (a) > Khoản vay 2,Khoản vay 2,USD,"1,4%",-,133.788.438.427,,0.013999999999999999,,133788438427.0
Ngân hàng Thương mại Cổ phần Công thương Việt Nam (“Vietinbank”) – Chi nhánh Quận 11 (b),Ngân hàng Thương mại Cổ phần Công thương Việt Nam (“Vietinbank”) – Chi nhánh Quận 11 (b),Ngân hàng Thương mại Cổ phần Công thương Việt Nam (“Vietinbank”) – Chi nhánh Quận 11 (b),Ngân hàng Thương mại Cổ phần Công thương Việt Nam (“Vietinbank”) – Chi nhánh Quận 11 (b),Ngân hàng Thương mại Cổ phần Công thương Việt Nam (“Vietinbank”) – Chi nhánh Quận 11 (b),Ngân hàng Thương mại Cổ phần Công thương Việt Nam (“Vietinbank”) – Chi nhánh Quận 11 (b),Ngân hàng Thương mại Cổ phần Công thương Việt Nam (“Vietinbank”) – Chi nhánh Quận 11 (b),,,,
Khoản vay 3,Ngân hàng Thương mại Cổ phần Công thương Việt Nam (“Vietinbank”) – Chi nhánh Quận 11 (b) > Khoản vay 3,Khoản vay 3,VND,"4,8% – 5,3%",1.647.157.457.453,799.584.491.935,,,1647157457453.0,799584491935.0
Khoản vay 4,Ngân hàng Thương mại Cổ phần Công thương Việt Nam (“Vietinbank”) – Chi nhánh Quận 11 (b) > Khoản vay 4,Khoản vay 4,USD,"1,4% – 1,6%",334.867.496.106,-,,,334867496106.0,
Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam (“Vietcombank”) – Chi nhánh Thành phố Hồ Chí Minh (c),Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam (“Vietcombank”) – Chi nhánh Thành phố Hồ Chí Minh (c),Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam (“Vietcombank”) – Chi nhánh Thành phố Hồ Chí Minh (c),Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam (“Vietcombank”) – Chi nhánh Thành phố Hồ Chí Minh (c),Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam (“Vietcombank”) – Chi nhánh Thành phố Hồ Chí Minh (c),Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam (“Vietcombank”) – Chi nhánh Thành phố Hồ Chí Minh (c),Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam (“Vietcombank”) – Chi nhánh Thành phố Hồ Chí Minh (c),,,,
Khoản vay 5,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam (“Vietcombank”) – Chi nhánh Thành phố Hồ Chí Minh (c) > Khoản vay 5,Khoản vay 5,VND,"5% – 5,2%",340.862.342.163,338.059.374.846,,,340862342163.0,338059374846.0
Khoản vay 6,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam (“Vietcombank”) – Chi nhánh Thành phố Hồ Chí Minh (c) > Khoản vay 6,Khoản vay 6,USD,"1,5% – 1,85%",682.060.978.753,131.551.003.813,,,682060978753.0,131551003813.0
Ngân hàng Thương mại Cổ phần Xăng dầu Petrolimex (e),Ngân hàng Thương mại Cổ phần Xăng dầu Petrolimex (e),Ngân hàng Thương mại Cổ phần Xăng dầu Petrolimex (e),Ngân hàng Thương mại Cổ phần Xăng dầu Petrolimex (e),Ngân hàng Thương mại Cổ phần Xăng dầu Petrolimex (e),Ngân hàng Thương mại Cổ phần Xăng dầu Petrolimex (e),Ngân hàng Thương mại Cổ phần Xăng dầu Petrolimex (e),,,,
Khoản vay 7,Ngân hàng Thương mại Cổ phần Xăng dầu Petrolimex (e) > Khoản vay 7,Khoản vay 7,VND,"5% – 5,5%",118.684.487.400,148.932.876.040,,,118684487400.0,148932876040.0
Ngân hàng Thương mại Cổ phần Quân đội (e),Ngân hàng Thương mại Cổ phần Quân đội (e),Ngân hàng Thương mại Cổ phần Quân đội (e),Ngân hàng Thương mại Cổ phần Quân đội (e),Ngân hàng Thương mại Cổ phần Quân đội (e),Ngân hàng Thương mại Cổ phần Quân đội (e),Ngân hàng Thương mại Cổ phần Quân đội (e),,,,
Khoản vay 8,Ngân hàng Thương mại Cổ phần Quân đội (e) > Khoản vay 8,Khoản vay 8,VND,"5% – 5,3%",770.578.961.161,499.967.032.083,,,770578961161.0,499967032083.0
Khoản vay 9,Ngân hàng Thương mại Cổ phần Quân đội (e) > Khoản vay 9,Khoản vay 9,USD,5%,79.764.999.999,-,,0.05,79764999999.0,
Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam (e),Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam (e),Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam (e),Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam (e),Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam (e),Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam (e),Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam (e),,,,
Khoản vay 10,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam (e) > Khoản vay 10,Khoản vay 10,USD,"1,3% – 2,5%",128.315.091.936,225.540.000.000,,,128315091936.0,225540000000.0
Ngân hàng Đầu tư và Phát triển Việt Nam (e),Ngân hàng Đầu tư và Phát triển Việt Nam (e),Ngân hàng Đầu tư và Phát triển Việt Nam (e),Ngân hàng Đầu tư và Phát triển Việt Nam (e),Ngân hàng Đầu tư và Phát triển Việt Nam (e),Ngân hàng Đầu tư và Phát triển Việt Nam (e),Ngân hàng Đầu tư và Phát triển Việt Nam (e),,,,
Khoản vay 11,Ngân hàng Đầu tư và Phát triển Việt Nam (e) > Khoản vay 11,Khoản vay 11,VND,"5% – 5,5%",894.341.373.335,763.181.592.235,,,894341373335.0,763181592235.0
Khoản vay 12,Ngân hàng Đầu tư và Phát triển Việt Nam (e) > Khoản vay 12,Khoản vay 12,USD,"2,2%",-,387.719.867.627,,0.022000000000000002,,387719867627.0
Ngân hàng Thương mại Cổ phần An Bình (e),Ngân hàng Thương mại Cổ phần An Bình (e),Ngân hàng Thương mại Cổ phần An Bình (e),Ngân hàng Thương mại Cổ phần An Bình (e),Ngân hàng Thương mại Cổ phần An Bình (e),Ngân hàng Thương mại Cổ phần An Bình (e),Ngân hàng Thương mại Cổ phần An Bình (e),,,,
Khoản vay 13,Ngân hàng Thương mại Cổ phần An Bình (e) > Khoản vay 13,Khoản vay 13,USD,"1,65%",433.497.690.959,-,,0.0165,433497690959.0,
Ngân hàng TNHH Một thành viên HSBC Việt Nam (e),Ngân hàng TNHH Một thành viên HSBC Việt Nam (e),Ngân hàng TNHH Một thành viên HSBC Việt Nam (e),Ngân hàng TNHH Một thành viên HSBC Việt Nam (e),Ngân hàng TNHH Một thành viên HSBC Việt Nam (e),Ngân hàng TNHH Một thành viên HSBC Việt Nam (e),Ngân hàng TNHH Một thành viên HSBC Việt Nam (e),,,,
Khoản vay 14,Ngân hàng TNHH Một thành viên HSBC Việt Nam (e) > Khoản vay 14,Khoản vay 14,VND,"3,5% – 4,7%",166.665.685.684,-,,,166665685684.0,
Ngân hàng Thương mại Cổ phần Tiên Phong (d),Ngân hàng Thương mại Cổ phần Tiên Phong (d),Ngân hàng Thương mại Cổ phần Tiên Phong (d),Ngân hàng Thương mại Cổ phần Tiên Phong (d),Ngân hàng Thương mại Cổ phần Tiên Phong (d),Ngân hàng Thương mại Cổ phần Tiên Phong (d),Ngân hàng Thương mại Cổ phần Tiên Phong (d),,,,
Khoản vay 15,Ngân hàng Thương mại Cổ phần Tiên Phong (d) > Khoản vay 15,Khoản vay 15,USD,"1,9% – 3,5%",332.823.634.893,115.143.117.782,,,332823634893.0,115143117782.0
