row_label_raw,row_label_full,col_0,Phần mềm máy vi tính VND,numeric__Phần mềm máy vi tính VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,25.921.451.251,25921451251.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.206.334.904,1206334904.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,27.127.786.155,27127786155.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,15.117.672.542,15117672542.0
Phân bổ trong năm,Giá trị hao mòn lũy kế > Phân bổ trong năm,Phân bổ trong năm,4.863.114.788,4863114788.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,19.980.787.330,19980787330.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,10.803.778.709,10803778709.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,7.146.998.825,7146998825.0
