row_label_raw,row_label_full,col_0,"Nơi thành lập, đăng ký hoạt động",Lĩnh vực kinh doanh,Tỉ lệ sở hữu trên vốn thực góp (%),Tỉ lệ sở hữu trên vốn thực góp (%)_1,Tỉ lệ sở hữu trên vốn điều lệ (%),Tỉ lệ sở hữu trên vốn điều lệ (%)_1,"numeric__Nơi thành lập, đăng ký hoạt động",numeric__Lĩnh vực kinh doanh,numeric__Tỉ lệ sở hữu trên vốn thực góp (%),numeric__Tỉ lệ sở hữu trên vốn thực góp (%)_1,numeric__Tỉ lệ sở hữu trên vốn điều lệ (%),numeric__Tỉ lệ sở hữu trên vốn điều lệ (%)_1
,,,"Nơi thành lập, đăng ký hoạt động",Lĩnh vực kinh doanh,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,,,,,,
"b) Công ty con đã thành lập, nhưng chưa góp vốn","b) Công ty con đã thành lập, nhưng chưa góp vốn","b) Công ty con đã thành lập, nhưng chưa góp vốn","b) Công ty con đã thành lập, nhưng chưa góp vốn","b) Công ty con đã thành lập, nhưng chưa góp vốn","b) Công ty con đã thành lập, nhưng chưa góp vốn","b) Công ty con đã thành lập, nhưng chưa góp vốn","b) Công ty con đã thành lập, nhưng chưa góp vốn","b) Công ty con đã thành lập, nhưng chưa góp vốn",,,,,,
Công ty Cổ phần Điện TTC Bắc Bình – Bình Thuận,"b) Công ty con đã thành lập, nhưng chưa góp vốn > Công ty Cổ phần Điện TTC Bắc Bình – Bình Thuận",Công ty Cổ phần Điện TTC Bắc Bình – Bình Thuận,Tỉnh Bình Thuận,"Sản xuất, truyền tải và phân phối điện",-,-,"51,00","51,00",,,,,51.0,51.0
Công ty Cổ phần Điện Mặt trời TTC Bắc Bình – Bình Thuận,"b) Công ty con đã thành lập, nhưng chưa góp vốn > Công ty Cổ phần Điện Mặt trời TTC Bắc Bình – Bình Thuận",Công ty Cổ phần Điện Mặt trời TTC Bắc Bình – Bình Thuận,Tỉnh Bình Thuận,"Sản xuất, truyền tải và phân phối điện",-,-,"51,00","51,00",,,,,51.0,51.0
Công ty Cổ phần Năng lượng TTC Bắc Bình - Bình Thuận,"b) Công ty con đã thành lập, nhưng chưa góp vốn > Công ty Cổ phần Năng lượng TTC Bắc Bình - Bình Thuận",Công ty Cổ phần Năng lượng TTC Bắc Bình - Bình Thuận,Tỉnh Bình Thuận,"Sản xuất, truyền tải và phân phối điện",-,-,"51,00","51,00",,,,,51.0,51.0
Công ty Cổ phần TNHH Một Thành viên Điện Mặt trời Phong Điền,"b) Công ty con đã thành lập, nhưng chưa góp vốn > Công ty Cổ phần TNHH Một Thành viên Điện Mặt trời Phong Điền",Công ty Cổ phần TNHH Một Thành viên Điện Mặt trời Phong Điền,Tỉnh Thừa Thiên Huế,"Sản xuất, truyền tải và phân phối điện",-,-,"100,00",-,,,,,100.0,
"Trong năm, theo Nghị quyết của Hội đồng Quản trị số 06/2019/NQ-HĐQT ngày 15 tháng 3 năm 2019, Tập đoàn cũng đã chấm dứt hoạt động những công ty con sau đây:","Trong năm, theo Nghị quyết của Hội đồng Quản trị số 06/2019/NQ-HĐQT ngày 15 tháng 3 năm 2019, Tập đoàn cũng đã chấm dứt hoạt động những công ty con sau đây:","Trong năm, theo Nghị quyết của Hội đồng Quản trị số 06/2019/NQ-HĐQT ngày 15 tháng 3 năm 2019, Tập đoàn cũng đã chấm dứt hoạt động những công ty con sau đây:","Trong năm, theo Nghị quyết của Hội đồng Quản trị số 06/2019/NQ-HĐQT ngày 15 tháng 3 năm 2019, Tập đoàn cũng đã chấm dứt hoạt động những công ty con sau đây:","Trong năm, theo Nghị quyết của Hội đồng Quản trị số 06/2019/NQ-HĐQT ngày 15 tháng 3 năm 2019, Tập đoàn cũng đã chấm dứt hoạt động những công ty con sau đây:","Trong năm, theo Nghị quyết của Hội đồng Quản trị số 06/2019/NQ-HĐQT ngày 15 tháng 3 năm 2019, Tập đoàn cũng đã chấm dứt hoạt động những công ty con sau đây:","Trong năm, theo Nghị quyết của Hội đồng Quản trị số 06/2019/NQ-HĐQT ngày 15 tháng 3 năm 2019, Tập đoàn cũng đã chấm dứt hoạt động những công ty con sau đây:","Trong năm, theo Nghị quyết của Hội đồng Quản trị số 06/2019/NQ-HĐQT ngày 15 tháng 3 năm 2019, Tập đoàn cũng đã chấm dứt hoạt động những công ty con sau đây:","Trong năm, theo Nghị quyết của Hội đồng Quản trị số 06/2019/NQ-HĐQT ngày 15 tháng 3 năm 2019, Tập đoàn cũng đã chấm dứt hoạt động những công ty con sau đây:",,,,,,
,,,,"Nơi thành lập, đăng ký hoạt động",Lĩnh vực kinh doanh,,Tỷ lệ sở hữu trên vốn điều lệ %,Tỷ lệ sở hữu trên vốn điều lệ %,,,,,,
Công ty Cổ phần Điện TTC Nhị Hà - Ninh Thuận,"Trong năm, theo Nghị quyết của Hội đồng Quản trị số 06/2019/NQ-HĐQT ngày 15 tháng 3 năm 2019, Tập đoàn cũng đã chấm dứt hoạt động những công ty con sau đây: > Công ty Cổ phần Điện TTC Nhị Hà - Ninh Thuận",Công ty Cổ phần Điện TTC Nhị Hà - Ninh Thuận,,Tỉnh Ninh Thuận,"Sản xuất, truyền tải và phân phối điện",,51,51,,,,,51.0,51.0
Công ty Cổ phần Điện mặt trời TTC Nhị Hà - Ninh Thuận,"Trong năm, theo Nghị quyết của Hội đồng Quản trị số 06/2019/NQ-HĐQT ngày 15 tháng 3 năm 2019, Tập đoàn cũng đã chấm dứt hoạt động những công ty con sau đây: > Công ty Cổ phần Điện mặt trời TTC Nhị Hà - Ninh Thuận",Công ty Cổ phần Điện mặt trời TTC Nhị Hà - Ninh Thuận,,Tỉnh Ninh Thuận,"Sản xuất, truyền tải và phân phối điện",,51,51,,,,,51.0,51.0
