row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày đầu năm,Nguyên giá > Tại ngày đầu năm,Tại ngày đầu năm,6.454.228.000,822.967.791,171.739.184,7.448.934.975,6454228000.0,822967791.0,171739184.0,7448934975.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,147.074.101,-,147.074.101,,147074101.0,,147074101.0
Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 14),Nguyên giá > Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 14),Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 14),7.718.619.431,5.823.470.865,-,13.542.090.296,7718619431.0,5823470865.0,,13542090296.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,14.172.847.431,6.793.512.757,171.739.184,21.138.099.372,14172847431.0,6793512757.0,171739184.0,21138099372.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Tại ngày đầu năm,Khấu hao lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,392.622.219,528.245.363,91.281.543,1.012.149.125,392622219.0,528245363.0,91281543.0,1012149125.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,753.695.500,115.400.980,29.028.865,898.125.345,753695500.0,115400980.0,29028865.0,898125345.0
Tại ngày cuối năm,Khấu hao lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,1.146.317.719,643.646.343,120.310.408,1.910.274.470,1146317719.0,643646343.0,120310408.0,1910274470.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,6.061.605.781,294.722.428,80.457.641,6.436.785.850,6061605781.0,294722428.0,80457641.0,6436785850.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,13.026.529.712,6.149.866.414,51.428.776,19.227.824.902,13026529712.0,6149866414.0,51428776.0,19227824902.0
