row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư và phát triển VND,LNST chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư và phát triển VND,numeric__LNST chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,970.912.750.000,28.940.687.153,56.347.900.991,120.011.502.443,141.804.106.178,1.318.016.946.765,970912750000.0,28940687153.0,56347900991.0,120011502443.0,141804106178.0,1318016946765.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,970.912.750.000,23.048.000,-,-,-,970.935.798.000,970912750000.0,23048000.0,,,,970935798000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,144.693.225.170,42.573.505.503,187.266.730.673,,,,144693225170.0,42573505503.0,187266730673.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,7.752.056.298,(7.752.056.298),-,-,,,7752056298.0,-7752056298.0,,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(13.371.829.266),(2.128.916.340),(15.500.745.606),,,,-13371829266.0,-2128916340.0,-15500745606.0
Thay đổi tỉ lệ sở hữu trong công ty con,Thay đổi tỉ lệ sở hữu trong công ty con,Thay đổi tỉ lệ sở hữu trong công ty con,-,-,-,(100.494),100.494,-,,,,-100494.0,100494.0,
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(97.091.275.000),(34.572.144.000),(131.663.419.000),,,,-97091275000.0,-34572144000.0,-131663419000.0
Góp vốn tử cổ đông không kiểm soát,Góp vốn tử cổ đông không kiểm soát,Góp vốn tử cổ đông không kiểm soát,-,-,-,-,78.880.000.000,78.880.000.000,,,,,78880000000.0,78880000000.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,(3.131.848.242),(1.404.942.096),4.536.790.338,-,,,-3131848242.0,-1404942096.0,4536790338.0,
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,1.941.825.500.000,28.963.735.153,60.968.109.047,145.084.524.459,231.093.442.173,2.407.935.310.832,1941825500000.0,28963735153.0,60968109047.0,145084524459.0,231093442173.0,2407935310832.0
Phát hành cổ phiếu (Thuyết minh 25(c)),Phát hành cổ phiếu (Thuyết minh 25(c)),Phát hành cổ phiếu (Thuyết minh 25(c)),97.091.270.000,9.709.127.000,-,-,-,106.800.397.000,97091270000.0,9709127000.0,,,,106800397000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,250.999.983.798,44.564.052.514,295.564.036.312,,,,250999983798.0,44564052514.0,295564036312.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,17.844.760.004,(17.844.760.004),(5.048.288.915),(5.048.288.915),,,17844760004.0,-17844760004.0,-5048288915.0,-5048288915.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)",-,-,-,(22.148.752.669),(2.465.084.135),(24.613.836.804),,,,-22148752669.0,-2465084135.0,-24613836804.0
Thay đổi tỉ lệ sở hữu trong công ty con,Thay đổi tỉ lệ sở hữu trong công ty con,Thay đổi tỉ lệ sở hữu trong công ty con,-,-,-,(55.412.725.957),(79.263.274.042),(134.675.999.999),,,,-55412725957.0,-79263274042.0,-134675999999.0
Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,-,-,-,-,20.321.039.737,20.321.039.737,,,,,20321039737.0,20321039737.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(135.927.785.000),(34.806.544.000),(170.734.329.000),,,,-135927785000.0,-34806544000.0,-170734329000.0
Góp vốn tử cổ đông không kiểm soát,Góp vốn tử cổ đông không kiểm soát,Góp vốn tử cổ đông không kiểm soát,-,-,-,-,84.080.000.000,84.080.000.000,,,,,84080000000.0,84080000000.0
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,2.038.916.770.000,38.672.862.153,78.812.869.051,164.750.484.627,258.475.343.332,2.579.628.329.163,2038916770000.0,38672862153.0,78812869051.0,164750484627.0,258475343332.0,2579628329163.0
