row_label_raw,row_label_full,Mã số,col_1,Thuyết minh,Năm nay VND,Năm trước VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước VND
,,,LU'U CHUYÊN TIÊN TỪ' HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ' HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ' HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ' HOẠT ĐỘNG TÀI CHÍNH,,,,
31,31,31,Tiền thu từ phát hành cổ phiếu,,270.260.397.000,1.049.815.798.000,,,270260397000.0,1049815798000.0
33,33,33,Tiền thu từ đi vay,,2.901.352.147.173,1.489.392.404.794,,,2901352147173.0,1489392404794.0
34,34,34,Tiền chi trả nợ gốc vay,,(533.556.028.107),(197.374.556.274),,,-533556028107.0,-197374556274.0
36,36,36,"Tiền cổ tức, lợi nhuận đã trả cho chủ sở hữu",,(166.922.935.987),(150.656.453.713),,,-166922935987.0,-150656453713.0
40,40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,2.471.133.580.079,2.191.177.192.807,,,2471133580079.0,2191177192807.0
50,50,50,Lưu chuyển tiền thuần trong năm,,(503.741.439.611),386.408.547.210,,,-503741439611.0,386408547210.0
60,60,60,Tiền và tương đương tiền đầu năm,4,609.411.234.157,222.999.837.459,,4.0,609411234157.0,222999837459.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,(300.007.803),2.849.488,,,-300007803.0,2849488.0
70,70,70,Tiền và tương đương tiền cuối năm,4,105.369.786.743,609.411.234.157,,4.0,105369786743.0,609411234157.0
