row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,numeric__Nội dung nghiệp vụ,numeric__Năm nay VND,numeric__Năm trước VND
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Thu hồi khoản cho vay,59.000.000.000,23.500.000.000,,59000000000.0,23500000000.0
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Lãi cho vay,3.660.657.532,607.977.550,,3660657532.0,607977550.0
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Cho vay,170.000.000.000,43.000.000.000,,170000000000.0,43000000000.0
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Lãi ứng trước tiền mua hàng,-,3.131.833.332,,,3131833332.0
Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,Cho vay,-,20.000.000.000,,,20000000000.0
Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,Lãi cho vay,-,2.878.607.308,,,2878607308.0
Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,Thu hồi khoản cho vay,-,58.000.000.000,,,58000000000.0
Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Lộc Thổ,Thu hồi khoản cho vay,-,-,,,
Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Lộc Thổ > Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Lộc Thổ,Lãi cho vay,-,827.884.323,,,827884323.0
Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Lộc Thổ > Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Lộc Thổ,Cho vay,-,32.000.000.000,,,32000000000.0
Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Lộc Thổ > Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,Mua hàng hóa và dịch vụ,3.777.724.091,1.910.166.401,,3777724091.0,1910166401.0
