row_label_raw,row_label_full,Mã số,col_1,Thuyết minh,Năm nay VND,Năm trước VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước VND
10,10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,29,1.159.374.278.952,559.488.474.875,,29.0,1159374278952.0,559488474875.0
11,11,11,Giá vốn hàng bán và dịch vụ cung cấp,30,509.711.047.062,253.487.961.656,,30.0,509711047062.0,253487961656.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10 - 11),,649.663.231.890,306.000.513.219,,,649663231890.0,306000513219.0
21,21,21,Doanh thu hoạt động tài chính,31,24.241.133.071,19.454.754.655,,31.0,24241133071.0,19454754655.0
22,22,22,Chi phí tài chính,32,257.818.850.423,41.137.903.234,,32.0,257818850423.0,41137903234.0
23,23,23,- Trong đó: Chi phí lãi vay,32,244.931.515.892,40.157.402.594,,32.0,244931515892.0,40157402594.0
25,25,25,Chi phí bán hàng,,624.900.198,588.486.215,,,624900198.0,588486215.0
26,26,26,Chi phí quản lý doanh nghiệp,33,111.170.664.590,76.636.113.903,,33.0,111170664590.0,76636113903.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh (30 = 20 + 21 - 21 - 22 - 25 - 26),,304.289.949.750,207.092.764.522,,,304289949750.0,207092764522.0
31,31,31,Thu nhập khác,,972.920.848,2.423.137.964,,,972920848.0,2423137964.0
32,32,32,Chi phí khác,,1.315.105.672,2.577.130.502,,,1315105672.0,2577130502.0
40,40,40,Lỗ khác (40 = 31 - 32),,(342.184.824),(153.992.538),,,-342184824.0,-153992538.0
50,50,50,Tổng lợi nhuận kế toán trước thuế (50 = 30 + 40),,303.947.764.926,206.938.771.984,,,303947764926.0,206938771984.0
51,51,51,"Chi phí thuế thu nhập doanh nghiệp (""TNDN"") hiện hành",34,13.686.317.528,20.639.269.039,,34.0,13686317528.0,20639269039.0
52,52,52,Thu nhập thuế TNDN hoãn lại,34,(254.299.999),(967.227.728),,34.0,-254299999.0,-967227728.0
60,60,60,Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),,290.515.747.397,187.266.730.673,,,290515747397.0,187266730673.0
,,,Phân bổ cho:,,,,,,,
61,61,61,Lợi nhuận sau thuế TNDN của Công ty mẹ,,250.999.983.798,144.693.225.170,,,250999983798.0,144693225170.0
62,62,62,Lợi nhuận sau thuế TNDN của cổ đông không kiểm soát,,39.515.763.599,42.573.505.503,,,39515763599.0,42573505503.0
70,70,70,Lãi cơ bản trên cổ phiếu,27(a),1.146,1.078,,,1146.0,1078.0
71,71,71,Lãi suy giảm trên cổ phiếu,27(b),1.146,1.078,,,1146.0,1078.0
