row_label_raw,row_label_full,col_0,Lợi thế thương mại VND,numeric__Lợi thế thương mại VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Tại ngày đầu năm,Nguyên giá > Tại ngày đầu năm,Tại ngày đầu năm,18.002.047.989,18002047989.0
Tăng trong năm (Thuyết minh 3),Nguyên giá > Tăng trong năm (Thuyết minh 3),Tăng trong năm (Thuyết minh 3),130.935.908,130935908.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,18.132.983.897,18132983897.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,
Tại ngày đầu năm,Khấu hao lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,10.073.383.748,10073383748.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.931.134.107,1931134107.0
Tại ngày cuối năm,Khấu hao lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,12.004.517.855,12004517855.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,7.928.664.241,7928664241.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,6.128.466.042,6128466042.0
