row_label_raw,row_label_full,col_0,Giá trị hợp lý tạm tính ghi nhận tại ngày mua VND,numeric__Giá trị hợp lý tạm tính ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền,Tài sản > Tiền,Tiền,20.930.029,20930029.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,198.231.373.600,198231373600.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,255.384.564,255384564.0
Tài sản dở dang dài hạn,Tài sản > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,2.691.665.636,2691665636.0
,,,201.199.353.829,201199353829.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,180.000.000,180000000.0
Nợ dài hạn,Nợ phải trả > Nợ dài hạn,Nợ dài hạn,1.165.000.000,1165000000.0
,,,1.345.000.000,1345000000.0
Tài sản thuần,Nợ phải trả > Tài sản thuần,Tài sản thuần,199.854.353.829,199854353829.0
Lợi thế thương mại (Thuyết minh 15),Nợ phải trả > Lợi thế thương mại (Thuyết minh 15),Lợi thế thương mại (Thuyết minh 15),130.935.908,130935908.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,(20.185.289.737),-20185289737.0
Tổng giá phí,Tổng giá phí,Tổng giá phí,Tổng giá phí,
Tiền,Tổng giá phí > Tiền,Tiền,61.977.360.000,61977360000.0
Nợ phải trả (Thuyết minh 20) (*),Tổng giá phí > Nợ phải trả (Thuyết minh 20) (*),Nợ phải trả (Thuyết minh 20) (*),117.822.640.000,117822640000.0
,,,179.800.000.000,179800000000.0
