row_label_raw,row_label_full,col_0,col_1,"Nơi thành lập, đăng ký hoạt động",Lĩnh vực kinh doanh,Tỉ lệ sở hữu trên vốn thực góp (%),Tỉ lệ sở hữu trên vốn thực góp (%)_1,Tỉ lệ sở hữu trên vốn điều lệ (%),Tỉ lệ sở hữu trên vốn điều lệ (%)_1,numeric__col_1,"numeric__Nơi thành lập, đăng ký hoạt động",numeric__Lĩnh vực kinh doanh,numeric__Tỉ lệ sở hữu trên vốn thực góp (%),numeric__Tỉ lệ sở hữu trên vốn thực góp (%)_1,numeric__Tỉ lệ sở hữu trên vốn điều lệ (%),numeric__Tỉ lệ sở hữu trên vốn điều lệ (%)_1
,,,,"Nơi thành lập, đăng ký hoạt động",Lĩnh vực kinh doanh,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,,,,,,,
a),a),a),Công ty con đang hoạt động,Công ty con đang hoạt động,Công ty con đang hoạt động,Công ty con đang hoạt động,Công ty con đang hoạt động,Công ty con đang hoạt động,Công ty con đang hoạt động,,,,,,,
,,,Công ty Cổ phần Thủy điện Gia Lai,Tỉnh Gia Lai,"Sản xuất, truyền tải và phân phối điện","58,10","58,10","58,10","58,10",,,,58.1,58.1,58.1,58.1
,,,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Tỉnh Thừa Thiên Huế,"Sản xuất, truyền tải và phân phối điện","100,00","100,00","100,00","100,00",,,,100.0,100.0,100.0,100.0
,,,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Tỉnh Gia Lai,Xây dựng các công trình thủy điện vừa và nhỏ; sản xuất bê tông và các sản phẩm từ xí măng và thạch cao,"100,00","100,00","100,00","100,00",,,,100.0,100.0,100.0,100.0
,,,Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,Tỉnh Gia Lai,"Sản xuất, truyền tải và phân phối điện","65,30","65,30","65,30","65,30",,,,65.3,65.3,65.3,65.3
,,,Công ty Cổ phần Điện Mặt trời TTC Tây Sơn - Bình Định,Tỉnh Bình Định,"Sản xuất, truyền tải và phân phối điện","100,00","100,00","51,00","51,00",,,,100.0,100.0,51.0,51.0
,,,Công ty Cổ phần Điện TTC Tây Sơn - Bình Định,Tỉnh Bình Định,"Sản xuất, truyền tải và phân phối điện","100,00","100,00","51,00","51,00",,,,100.0,100.0,51.0,51.0
,,,Công ty Cổ phần Điện TTC Đức Huệ - Long An,(i) Tỉnh Long An,"Sản xuất, truyền tải và phân phối điện","99,94","51,00","51,00","51,00",,,,99.94,51.0,51.0,51.0
,,,Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,(ii) Tỉnh Long An,"Sản xuất, truyền tải và phân phối điện","66,14","83,61","51,00","51,00",,,,66.14,83.61,51.0,51.0
,,,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Tỉnh Gia Lai,Hoạt động kiến trúc và tư vấn kỹ thuật điện có liên quan,"100,00","100,00","100,00","100,00",,,,100.0,100.0,100.0,100.0
,,,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,(iii) Tỉnh Đắk Nông,"Sản xuất, truyền tải và phân phối điện","99,96",-,"99,96",-,,,,99.96,,99.96,
,,,Công ty Cổ phần Năng lượng VPL,(iv) Tỉnh Bến Tre,"Sản xuất, truyền tải và phân phối điện","89,90",-,"89,90",-,,,,89.9,,89.9,
