row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,"Phương tiệnvận tải, truyền dẫnVND",Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,"numeric__Phương tiệnvận tải, truyền dẫnVND",numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày đầu năm,Nguyên giá > Tại ngày đầu năm,Tại ngày đầu năm,992.611.192.899,2.109.043.842.187,148.109.491.605,36.414.150.464,207.941.999.088,3.494.120.676.243,992611192899.0,2109043842187.0,148109491605.0,36414150464.0,207941999088.0,3494120676243.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,266.022.995,3.694.698.091,4.595.423.695,4.259.937.666,6.796.415.273,19.612.497.720,266022995.0,3694698091.0,4595423695.0,4259937666.0,6796415273.0,19612497720.0
Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 14),Nguyên giá > Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 14),Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 14),495.679.670.151,1.819.347.022.975,156.439.763.869,70.188.032.585,91.991.740.212,2.633.646.229.792,495679670151.0,1819347022975.0,156439763869.0,70188032585.0,91991740212.0,2633646229792.0
Phân loại lại do quyết toánđự án,Nguyên giá > Phân loại lại do quyết toánđự án,Phân loại lại do quyết toánđự án,233.752.745.582,(123.382.170.399),51.711.562.177(7.266.577.752),(25.544.152.954),(136.537.984.406),-,233752745582.0,-123382170399.0,,-25544152954.0,-136537984406.0,
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,-,-,(7.266.577.752),,,,,,-7266577752.0
Khác,Nguyên giá > Khác,Khác,-,(192.600.000),-,-,-,(192.600.000),,-192600000.0,,,,-192600000.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,1.722.309.631.627,3.808.510.792.854,353.589.663.594,85.317.967.761,170.192.170.167,6.139.920.226.003,1722309631627.0,3808510792854.0,353589663594.0,85317967761.0,170192170167.0,6139920226003.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày đầu năm,Khấu hao lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,281.384.190.896,219.125.310.779,66.697.902.711,4.416.030.349,51.262.149.489,622.885.584.224,281384190896.0,219125310779.0,66697902711.0,4416030349.0,51262149489.0,622885584224.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,56.184.147.623,95.397.269.071,13.924.972.758(4.860.607.125),5.119.571.401,111.629.836.972,282.255.797.825,56184147623.0,95397269071.0,,5119571401.0,111629836972.0,282255797825.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,-,-,(4.860.607.125),,,,,,-4860607125.0
Khác,Khấu hao lũy kế > Khác,Khác,-,(76.237.500),-,-,-,(76.237.500),,-76237500.0,,,,-76237500.0
Tại ngày cuối năm,Khấu hao lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,337.568.338.519,314.446.342.350,75.762.268.344,9.535.601.750,162.891.986.461,900.204.537.424,337568338519.0,314446342350.0,75762268344.0,9535601750.0,162891986461.0,900204537424.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,711.227.002.003,1.889.918.531.408,81.411.588.894,31.998.120.115,156.679.849.599,2.871.235.092.019,711227002003.0,1889918531408.0,81411588894.0,31998120115.0,156679849599.0,2871235092019.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.384.741.293.108,3.494.064.450.504,277.827.395.250,75.782.366.011,7.300.183.706,5.239.715.688.579,1384741293108.0,3494064450504.0,277827395250.0,75782366011.0,7300183706.0,5239715688579.0
