row_label_raw,row_label_full,Mãsố,TÀI SẢN (tiếp theo),Thuyếtminh,Số cuối nămVND,Số đầu nămVND,numeric__TÀI SẢN (tiếp theo),numeric__Thuyếtminh,numeric__Số cuối nămVND,numeric__Số đầu nămVND
200,200,200,TÀI SẢN DÀI HẠN,,5.572.826.698.456,3.130.686.395.290,,,5572826698456.0,3130686395290.0
210,210,210,Các khoản phải thu dài hạn,,573.204.382,785.499.803,,,573204382.0,785499803.0
216,216,216,Phải thu dài hạn khác,9(b),1.264.387.882,1.276.341.882,,,1264387882.0,1276341882.0
219,219,219,Dự phòng phải thu dài hạn khó đòi,10,(691.183.500),(490.842.079),,10.0,-691183500.0,-490842079.0
220,220,220,Tài sản cố định,,5.258.943.513.481,2.877.671.877.869,,,5258943513481.0,2877671877869.0
221,221,221,Tài sản cố định hữu hình,13(a),5.239.715.688.579,2.871.235.092.019,,,5239715688579.0,2871235092019.0
222,222,222,Nguyên giá,,6.139.920.226.003,3.494.120.676.243,,,6139920226003.0,3494120676243.0
223,223,223,Giá trị khấu hao lũy kế,,(900.204.537.424),(622.885.584.224),,,-900204537424.0,-622885584224.0
227,227,227,Tài sản cố định vô hình,13(b),19.227.824.902,6.436.785.850,,,19227824902.0,6436785850.0
228,228,228,Nguyên giá,,21.138.099.372,7.448.934.975,,,21138099372.0,7448934975.0
229,229,229,Giá trị khấu hao lũy kế,,(1.910.274.470),(1.012.149.125),,,-1910274470.0,-1012149125.0
240,240,240,Tài sản dở dang dài hạn,,262.815.515.612,215.763.242.101,,,262815515612.0,215763242101.0
242,242,242,Chi phí xây dựng cơ bản dở dang,14,262.815.515.612,215.763.242.101,,14.0,262815515612.0,215763242101.0
250,250,250,Đầu tư tài chính dài hạn,,2.600.000.000,-,,,2600000000.0,
253,253,253,Đầu tư góp vốn vào đơn vị khác,5(b),2.600.000.000,-,,,2600000000.0,
260,260,260,Tài sản dài hạn khác,,47.894.464.981,36.465.775.517,,,47894464981.0,36465775517.0
261,261,261,Chi phí trả trước dài hạn,12(b),35.277.229.931,22.302.642.267,,,35277229931.0,22302642267.0
262,262,262,Tài sản thuế thu nhập hoãn lại,24,6.488.769.008,6.234.469.009,,24.0,6488769008.0,6234469009.0
269,269,269,Lợi thế thương mại,15,6.128.466.042,7.928.664.241,,15.0,6128466042.0,7928664241.0
270,270,270,TỔNG TÀI SẢN,,6.763.219.423.786,4.360.558.905.737,,,6763219423786.0,4360558905737.0
