row_label_raw,row_label_full,Bên liên quan(Thuyết minh 37(b)),Tại ngàyđầu nămVND > Bên liên quan(Thuyết minh 37(b)),Chỉ cho vayVND > Bên liên quan(Thuyết minh 37(b)),Thu hồi nợ vayVND > Bên liên quan(Thuyết minh 37(b)),Tại ngàycuối nămVND > Bên liên quan(Thuyết minh 37(b)),numeric__Tại ngàyđầu nămVND > Bên liên quan(Thuyết minh 37(b)),numeric__Chỉ cho vayVND > Bên liên quan(Thuyết minh 37(b)),numeric__Thu hồi nợ vayVND > Bên liên quan(Thuyết minh 37(b)),numeric__Tại ngàycuối nămVND > Bên liên quan(Thuyết minh 37(b))
Công ty Cổ phần Giaodịch Hàng hóa Sơn Tín,Công ty Cổ phần Giaodịch Hàng hóa Sơn Tín,Công ty Cổ phần Giaodịch Hàng hóa Sơn Tín,-,170.000.000.000,(59.000.000.000),111.000.000.000,,170000000000.0,-59000000000.0,111000000000.0
Công ty Cổ phần Thủyđiện Trường Phú,Công ty Cổ phần Thủyđiện Trường Phú,Công ty Cổ phần Thủyđiện Trường Phú,-,31.000.000.000,(1.000.000.000),30.000.000.000,,31000000000.0,-1000000000.0,30000000000.0
Công ty Cổ phần BiênHòa - Thành Long,Công ty Cổ phần BiênHòa - Thành Long,Công ty Cổ phần BiênHòa - Thành Long,-,15.900.000.000,(2.500.000.000),13.400.000.000,,15900000000.0,-2500000000.0,13400000000.0
Công ty Cổ phần Nănglượng sạch Ninh Thuận,Công ty Cổ phần Nănglượng sạch Ninh Thuận,Công ty Cổ phần Nănglượng sạch Ninh Thuận,-,3.500.000.000,-,3.500.000.000,,3500000000.0,,3500000000.0
Công ty Cổ phần Nănglượng TTC,Công ty Cổ phần Nănglượng TTC,Công ty Cổ phần Nănglượng TTC,-,20.000.000.000,(20.000.000.000),-,,20000000000.0,-20000000000.0,
,,,-,240.400.000.000,(82.500.000.000),157.900.000.000,,240400000000.0,-82500000000.0,157900000000.0
