row_label_raw,row_label_full,Phải thu ngắn hạn khác (Thuyết minh 9(a)),Số cuối năm VND > Phải thu ngắn hạn khác (Thuyết minh 9(a)),Số đầu năm VND > Phải thu ngắn hạn khác (Thuyết minh 9(a)),numeric__Số cuối năm VND > Phải thu ngắn hạn khác (Thuyết minh 9(a)),numeric__Số đầu năm VND > Phải thu ngắn hạn khác (Thuyết minh 9(a))
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,1.999.479.451,-,1999479451.0,
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,1.291.202.523,62.509.896,1291202523.0,62509896.0
Công ty Cổ phần Biên Hòa - Thành Long,Công ty Cổ phần Biên Hòa - Thành Long,Công ty Cổ phần Biên Hòa - Thành Long,477.452.052,-,477452052.0,
Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,159.178.080,-,159178080.0,
Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,-,3.367.615.868,,3367615868.0
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,-,74.987.498,,74987498.0
Công ty Cổ phần Điện Gió Mê Kông,Công ty Cổ phần Điện Gió Mê Kông,Công ty Cổ phần Điện Gió Mê Kông,-,38.850.000,,38850000.0
Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,-,33.440.000,,33440000.0
Cá nhân khác,Cá nhân khác,Cá nhân khác,-,80.000.000,,80000000.0
,,,3.927.312.106,3.657.403.262,3927312106.0,3657403262.0
Phải thu dài hạn khác (Thuyết minh 9(b)),Phải thu dài hạn khác (Thuyết minh 9(b)),Phải thu dài hạn khác (Thuyết minh 9(b)),Phải thu dài hạn khác (Thuyết minh 9(b)),Phải thu dài hạn khác (Thuyết minh 9(b)),,
Công ty Cổ phần Thành Thành Nam,Phải thu dài hạn khác (Thuyết minh 9(b)) > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,498.204.382,498.204.382,498204382.0,498204382.0
Phải trả người bán ngắn hạn (Thuyết minh 16),Phải trả người bán ngắn hạn (Thuyết minh 16),Phải trả người bán ngắn hạn (Thuyết minh 16),Phải trả người bán ngắn hạn (Thuyết minh 16),Phải trả người bán ngắn hạn (Thuyết minh 16),,
Công ty Cổ phần Đầu tư Thành Thành Công,Phải trả người bán ngắn hạn (Thuyết minh 16) > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,7.020.903.685,12.816.612.422,7020903685.0,12816612422.0
Công ty Cổ phần Thành Thành Nam,Phải trả người bán ngắn hạn (Thuyết minh 16) > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,1.509.666.570,14.785.600,1509666570.0,14785600.0
Công ty Cổ phần Biên Hòa - Thành Long,Phải trả người bán ngắn hạn (Thuyết minh 16) > Công ty Cổ phần Biên Hòa - Thành Long,Công ty Cổ phần Biên Hòa - Thành Long,526.617.062,-,526617062.0,
Công ty TNHH Một Thành viên Khai thác Công trình Thủy lợi Gia Lai,Phải trả người bán ngắn hạn (Thuyết minh 16) > Công ty TNHH Một Thành viên Khai thác Công trình Thủy lợi Gia Lai,Công ty TNHH Một Thành viên Khai thác Công trình Thủy lợi Gia Lai,206.706.101,152.440.977,206706101.0,152440977.0
Công ty Cổ phần Du lịch Thành Thành Công,Phải trả người bán ngắn hạn (Thuyết minh 16) > Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,120.262.000,183.212.000,120262000.0,183212000.0
Công ty Cổ phần Trường Phú,Phải trả người bán ngắn hạn (Thuyết minh 16) > Công ty Cổ phần Trường Phú,Công ty Cổ phần Trường Phú,-,1.379.200.000,,1379200000.0
Công ty Cổ phần Năng lượng TTC,Phải trả người bán ngắn hạn (Thuyết minh 16) > Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,-,65.608.994,,65608994.0
Công ty Cổ phần Du lịch Thanh Bình,Phải trả người bán ngắn hạn (Thuyết minh 16) > Công ty Cổ phần Du lịch Thanh Bình,Công ty Cổ phần Du lịch Thanh Bình,-,48.809.000,,48809000.0
,,,9.384.155.418,14.660.668.993,9384155418.0,14660668993.0
