row_label_raw,row_label_full,Số dư đầu năm > Tăng trong năm > Chuyển sang TSCĐ hữu hình(Thuyết minh 13(a)),Năm nay VND > 215.763.242.101 > 2.695.084.896.768 > (2.633.646.229.792),Năm trước VND > 215.763.242.101 > 1.852.146.744.516 > (1.851.464.674.490),numeric__Năm nay VND > 215.763.242.101 > 2.695.084.896.768 > (2.633.646.229.792),numeric__Năm trước VND > 215.763.242.101 > 1.852.146.744.516 > (1.851.464.674.490)
Chuyển sang chi phí trả trước,Chuyển sang chi phí trả trước,Chuyển sang chi phí trả trước,-,(376.558.176),,-376558176.0
Chuyển sang TSCĐ vô hình(Thuyết minh 13(b)),Chuyển sang TSCĐ vô hình(Thuyết minh 13(b)),Chuyển sang TSCĐ vô hình(Thuyết minh 13(b)),(13.542.090.296),-,-13542090296.0,
Khác,Khác,Khác,(844.303.169),(305.511.850),-844303169.0,-305511850.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,262.815.515.612,215.763.242.101,262815515612.0,215763242101.0
