row_label_raw,row_label_full,Phải thu ngắn hạn của khách hàng (Thuyết minh 6),Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 6),Số đầu năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 6),numeric__Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 6),numeric__Số đầu năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 6)
Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,40.627.304.642,38.744.337.198,40627304642.0,38744337198.0
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,27.805.335.186,21.381.608.303,27805335186.0,21381608303.0
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,2.592.325.483,873.903.324,2592325483.0,873903324.0
Công ty TNHH Một thành viên Nhiệt điện Ninh Hòa,Công ty TNHH Một thành viên Nhiệt điện Ninh Hòa,Công ty TNHH Một thành viên Nhiệt điện Ninh Hòa,223.325.458,27.801.000,223325458.0,27801000.0
Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,136.395.000,-,136395000.0,
Công ty TNHH Một thành viên Đường Biên Hòa - Ninh Hòa,Công ty TNHH Một thành viên Đường Biên Hòa - Ninh Hòa,Công ty TNHH Một thành viên Đường Biên Hòa - Ninh Hòa,13.861.172,181.728.000,13861172.0,181728000.0
Công ty Cổ phần Đường Biên Hòa- Đồng Nai,Công ty Cổ phần Đường Biên Hòa- Đồng Nai,Công ty Cổ phần Đường Biên Hòa- Đồng Nai,-,286.440.000,,286440000.0
Công ty Cổ phần Du lịch TTC - CN Cần Thơ,Công ty Cổ phần Du lịch TTC - CN Cần Thơ,Công ty Cổ phần Du lịch TTC - CN Cần Thơ,-,100.000.000,,100000000.0
,,,71.398.546.941,61.595.817.825,71398546941.0,61595817825.0
Trà trước cho người bán ngắn hạn (Thuyết minh 7),Trà trước cho người bán ngắn hạn (Thuyết minh 7),Trà trước cho người bán ngắn hạn (Thuyết minh 7),Trà trước cho người bán ngắn hạn (Thuyết minh 7),Trà trước cho người bán ngắn hạn (Thuyết minh 7),,
Công ty Cổ phần Biên Hòa - Thành Long,Trà trước cho người bán ngắn hạn (Thuyết minh 7) > Công ty Cổ phần Biên Hòa - Thành Long,Công ty Cổ phần Biên Hòa - Thành Long,16.566.531.080,-,16566531080.0,
Công ty Cổ phần Thủy điện Trường Phú,Trà trước cho người bán ngắn hạn (Thuyết minh 7) > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,10.000.000.000,-,10000000000.0,
Công ty Cổ phần Đầu tư Thành Thành Công,Trà trước cho người bán ngắn hạn (Thuyết minh 7) > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,-,1.238.725.000,,1238725000.0
,,,26.566.531.080,1.238.725.000,26566531080.0,1238725000.0
Phải thu về cho vay ngắn hạn (Thuyết minh 8),Phải thu về cho vay ngắn hạn (Thuyết minh 8),Phải thu về cho vay ngắn hạn (Thuyết minh 8),Phải thu về cho vay ngắn hạn (Thuyết minh 8),Phải thu về cho vay ngắn hạn (Thuyết minh 8),,
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Phải thu về cho vay ngắn hạn (Thuyết minh 8) > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,111.000.000.000,-,111000000000.0,
Công ty Cổ phần Thủy điện Trường Phú,Phải thu về cho vay ngắn hạn (Thuyết minh 8) > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,30.000.000.000,-,30000000000.0,
Công ty Cổ phần Biên Hòa - Thành Long,Phải thu về cho vay ngắn hạn (Thuyết minh 8) > Công ty Cổ phần Biên Hòa - Thành Long,Công ty Cổ phần Biên Hòa - Thành Long,13.400.000.000,-,13400000000.0,
Công ty Cổ phần Năng lượng sạch Ninh Thuận,Phải thu về cho vay ngắn hạn (Thuyết minh 8) > Công ty Cổ phần Năng lượng sạch Ninh Thuận,Công ty Cổ phần Năng lượng sạch Ninh Thuận,3.500.000.000,-,3500000000.0,
,,,157.900.000.000,-,157900000000.0,
