row_label_raw,row_label_full,Phải trả ngắn hạn khác (Thuyết minh 20),Số cuối năm VND > Phải trả ngắn hạn khác (Thuyết minh 20),Số đầu năm VND > Phải trả ngắn hạn khác (Thuyết minh 20),numeric__Số cuối năm VND > Phải trả ngắn hạn khác (Thuyết minh 20),numeric__Số đầu năm VND > Phải trả ngắn hạn khác (Thuyết minh 20)
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,900.000,1.232.000,900000.0,1232000.0
Công ty Cổ phần Du lịch Thanh Bình,Công ty Cổ phần Du lịch Thanh Bình,Công ty Cổ phần Du lịch Thanh Bình,-,1.421.273,,1421273.0
,,,900.000,2.653.273,900000.0,2653273.0
Vay ngắn hạn (Thuyết minh 21(a)),Vay ngắn hạn (Thuyết minh 21(a)),Vay ngắn hạn (Thuyết minh 21(a)),Vay ngắn hạn (Thuyết minh 21(a)),Vay ngắn hạn (Thuyết minh 21(a)),,
Công ty Cổ phần Năng lượng TTC,Vay ngắn hạn (Thuyết minh 21(a)) > Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,7.000.000.000,-,7000000000.0,
