row_label_raw,row_label_full,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo),THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_1,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_2,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_3,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_1,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_2,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_3
Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),,,
Bên liên quan,Bên liên quan,Bên liên quan,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,,,
Chi Nhánh Công ty Cổ phần Du lịch Thắng Lợi - TTC Hotel Premium - Phan Thiết,Bên liên quan > Chi Nhánh Công ty Cổ phần Du lịch Thắng Lợi - TTC Hotel Premium - Phan Thiết,Chi Nhánh Công ty Cổ phần Du lịch Thắng Lợi - TTC Hotel Premium - Phan Thiết,Mua dịch vụ,-,6.672.727,,,6672727.0
Công ty TNHH Nhiệt điện Ninh Hòa,Bên liên quan > Công ty TNHH Nhiệt điện Ninh Hòa,Công ty TNHH Nhiệt điện Ninh Hòa,Doanh thu bán hàng và cung cấp dịch vụ,203.023.144,34.360.818,,203023144.0,34360818.0
Chi Nhánh Công ty Cổ phần Du lịch Thắng Lợi - TTC Palace Bình Thuận,Bên liên quan > Chi Nhánh Công ty Cổ phần Du lịch Thắng Lợi - TTC Palace Bình Thuận,Chi Nhánh Công ty Cổ phần Du lịch Thắng Lợi - TTC Palace Bình Thuận,Mua dịch vụ,-,19.031.818,,,19031818.0
Trường Cao đẳng Công nghệ và Quản trị Sonadezi,Bên liên quan > Trường Cao đẳng Công nghệ và Quản trị Sonadezi,Trường Cao đẳng Công nghệ và Quản trị Sonadezi,Mua dịch vụ,-,402.000.000,,,402000000.0
Công ty Cổ phần Thành Thành Công Biên Hòa,Bên liên quan > Công ty Cổ phần Thành Thành Công Biên Hòa,Công ty Cổ phần Thành Thành Công Biên Hòa,Doanh thu cung cấp dịch vụ,574.700.000,-,,574700000.0,
Công ty Cổ phần Thành Thành Công Biên Hòa,Bên liên quan > Công ty Cổ phần Thành Thành Công Biên Hòa,Công ty Cổ phần Thành Thành Công Biên Hòa,Phạt vi phạm hợp đồng,50.573.600,-,,50573600.0,
Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Bên liên quan > Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Doanh thu bán hàng và cung cấp dịch vụ,10.000.000,-,,10000000.0,
Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Bên liên quan > Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Cho vay,3.500.000.000,-,,3500000000.0,
Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Bên liên quan > Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Lãi cho vay,159.178.080,-,,159178080.0,
Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Bên liên quan > Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,"Mua hàng hóa, dịch vụ",20.022.000,-,,20022000.0,
