row_label_raw,row_label_full,CÔNG TY CÓ PHÂN ĐIỆN GIA LAI,CÔNG TY CÓ PHÂN ĐIỆN GIA LAI_1,CÔNG TY CÓ PHÂN ĐIỆN GIA LAI_2,CÔNG TY CÓ PHÂN ĐIỆN GIA LAI_3,CÔNG TY CÓ PHÂN ĐIỆN GIA LAI_4,CÔNG TY CÓ PHÂN ĐIỆN GIA LAI_5,Mẫu số B 09 – DN/HN,Mẫu số B 09 – DN/HN_1,numeric__CÔNG TY CÓ PHÂN ĐIỆN GIA LAI_1,numeric__CÔNG TY CÓ PHÂN ĐIỆN GIA LAI_2,numeric__CÔNG TY CÓ PHÂN ĐIỆN GIA LAI_3,numeric__CÔNG TY CÓ PHÂN ĐIỆN GIA LAI_4,numeric__CÔNG TY CÓ PHÂN ĐIỆN GIA LAI_5,numeric__Mẫu số B 09 – DN/HN,numeric__Mẫu số B 09 – DN/HN_1
38,38,38,BÁO CÁO BỘ PHẬN (tiếp theo),BÁO CÁO BỘ PHẬN (tiếp theo),BÁO CÁO BỘ PHẬN (tiếp theo),BÁO CÁO BỘ PHẬN (tiếp theo),BÁO CÁO BỘ PHẬN (tiếp theo),BÁO CÁO BỘ PHẬN (tiếp theo),BÁO CÁO BỘ PHẬN (tiếp theo),,,,,,,
,,,,Hoạt động sản xuất và bán điện VND,Hoạt động xây lắp VND,Hoạt động cung cấp dịch vụ VND,Hoạt động bán hàng hóa VND,Loại trừ VND,Tổng cộng VND,,,,,,,
,,,Tài sản và công nợ tại ngày 31.12.2019,Tài sản và công nợ tại ngày 31.12.2019,Tài sản và công nợ tại ngày 31.12.2019,Tài sản và công nợ tại ngày 31.12.2019,Tài sản và công nợ tại ngày 31.12.2019,Tài sản và công nợ tại ngày 31.12.2019,Tài sản và công nợ tại ngày 31.12.2019,,,,,,,
,,,Tài sản bộ phận,5.490.863.047.093,54.355.983.977,141.059.440.513,799.071.165.460,-,6.485.349.637.043,,5490863047093.0,54355983977.0,141059440513.0,799071165460.0,,6485349637043.0
,,,Tài sản không phân bổ,-,-,-,-,-,277.869.786.743,,,,,,,277869786743.0
,,,Tổng tài sản,,,,,,6.763.219.423.786,,,,,,,6763219423786.0
,,,Công nợ bộ phận,3.536.344.161.701,38.256.365.626,100.674.295.328,507.700.648.542,-,4.182.975.471.197,,3536344161701.0,38256365626.0,100674295328.0,507700648542.0,,4182975471197.0
,,,Công nợ không phân bổ,-,-,-,-,-,615.623.426,,,,,,,615623426.0
,,,Tổng công nợ,,,,,,4.183.591.094.623,,,,,,,4183591094623.0
