row_label_raw,row_label_full,col_0,Giá trị hợp lý ghi nhận tại ngày mua VND,numeric__Giá trị hợp lý ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền,Tài sản > Tiền,Tiền,213.399.371,213399371.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,640.000.000,640000000.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,116.042.545,116042545.0
Tài sản dở dang dài hạn,Tài sản > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,1.293.019.084,1293019084.0
,,,2.262.461.000,2262461000.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,2.126.711.000,2126711000.0
Tài sản thuần,Nợ phải trả > Tài sản thuần,Tài sản thuần,135.750.000,135750000.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,(135.750.000),-135750000.0
Tổng giá phí,Tổng giá phí,Tổng giá phí,Tổng giá phí,
Tiền,Tổng giá phí > Tiền,Tiền,221.444.250.000,221444250000.0
