row_label_raw,row_label_full,Thuế phải nộp Nhà nước Việt Nam > Thuế giá trị gia tăng,1/1/2024Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,Số phải nộp trong nămNghìn VND > Thuế phải nộp Nhà nước Việt Nam > 417.907.633,Số đã nộp/bù trừ trong năm Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > (417.907.633),Chênh lệch do quy đổi đơn vị tiền tệ báo cáoNghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,Giảm do thoái vốn đầu tư vào công ty con(Thuyết minh 6)Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,31/12/2024Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,numeric__1/1/2024Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,numeric__Số phải nộp trong nămNghìn VND > Thuế phải nộp Nhà nước Việt Nam > 417.907.633,numeric__Số đã nộp/bù trừ trong năm Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > (417.907.633),numeric__Chênh lệch do quy đổi đơn vị tiền tệ báo cáoNghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,numeric__Giảm do thoái vốn đầu tư vào công ty con(Thuyết minh 6)Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,numeric__31/12/2024Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,1.190.523,195.350.611,(196.436.027),-,-,105.107,1190523.0,195350611.0,-196436027.0,,,105107.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,9.219.864,211.786.110,(9.157.350),-,-,211.848.624,9219864.0,211786110.0,-9157350.0,,,211848624.0
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,-,4.427.634,(4.427.634),-,-,-,,4427634.0,-4427634.0,,,
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,6.627.771,71.672.030,(72.289.984),-,-,6.009.817,6627771.0,71672030.0,-72289984.0,,,6009817.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,168.274.068,(168.274.068),-,-,-,,168274068.0,-168274068.0,,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,254.872,13.859.238,(13.383.034),-,-,731.076,254872.0,13859238.0,-13383034.0,,,731076.0
,,,17.293.030,1.083.277.324,(881.875.730),-,-,218.694.624,17293030.0,1083277324.0,-881875730.0,,,218694624.0
Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,,,,,,
Thuế thu nhập doanh nghiệp,Thuế phải nộp cho cơ quan thuế nước ngoài > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,77.725.322,97.923.079,(93.024.977),(374.878),(82.248.546),-,77725322.0,97923079.0,-93024977.0,-374878.0,-82248546.0,
Các loại thuế khác,Thuế phải nộp cho cơ quan thuế nước ngoài > Các loại thuế khác,Các loại thuế khác,92.840.881,112.899.144,(107.899.092),(1.473.904),(96.367.029),-,92840881.0,112899144.0,-107899092.0,-1473904.0,-96367029.0,
,,,170.566.203,210.822.223,(200.924.069),(1.848.782),(178.615.575),-,170566203.0,210822223.0,-200924069.0,-1848782.0,-178615575.0,
,,,187.859.233,1.294.099.547,(1.082.799.799),(1.848.782),(178.615.575),218.694.624,187859233.0,1294099547.0,-1082799799.0,-1848782.0,-178615575.0,218694624.0
