row_label_raw,row_label_full,col_0,Thuế suất,31/12/2024Nghìn VND,1/1/2024Nghìn VND,numeric__Thuế suất,numeric__31/12/2024Nghìn VND,numeric__1/1/2024Nghìn VND
Tài sản thuế thu nhập hoãn lại:Tái xác định dự phòng trợ cấp hưu trí phải trả thuần,Tài sản thuế thu nhập hoãn lại:Tái xác định dự phòng trợ cấp hưu trí phải trả thuần,Tài sản thuế thu nhập hoãn lại:Tái xác định dự phòng trợ cấp hưu trí phải trả thuần,30%,-,297.826.332,0.3,,297826332.0
Giá trị thuế của các khoản lỗ mang sang (*),Giá trị thuế của các khoản lỗ mang sang (*),Giá trị thuế của các khoản lỗ mang sang (*),"7,5% - 30%",-,446.264.329,,,446264329.0
Lãi chưa thực hiện từ các giao dịch nội bộ,Lãi chưa thực hiện từ các giao dịch nội bộ,Lãi chưa thực hiện từ các giao dịch nội bộ,5% - 30%,-,22.140.757,,,22140757.0
Quan hệ có từ trước – Lợi ích của hợp đồng với NPM,Quan hệ có từ trước – Lợi ích của hợp đồng với NPM,Quan hệ có từ trước – Lợi ích của hợp đồng với NPM,30%,-,8.018.272,0.3,,8018272.0
Dự phòng hàng tồn kho,Dự phòng hàng tồn kho,Dự phòng hàng tồn kho,15%,22.742.529,19.128.896,0.15,22742529.0,19128896.0
Tài sản hữu hình mới được xác định từ hợp nhất kinh doanh (*),Tài sản hữu hình mới được xác định từ hợp nhất kinh doanh (*),Tài sản hữu hình mới được xác định từ hợp nhất kinh doanh (*),15% - 30%,-,2.807.385,,,2807385.0
"Chi phí phải trả, các khoản dự phòng và các khoản khác (*)","Chi phí phải trả, các khoản dự phòng và các khoản khác (*)","Chi phí phải trả, các khoản dự phòng và các khoản khác (*)",30%,-,33.870.408,0.3,,33870408.0
Bù trừ,Bù trừ,Bù trừ,,-,(773.892.819),,,-773892819.0
Tổng tài sản thuế thu nhập hoãn lại,Tổng tài sản thuế thu nhập hoãn lại,Tổng tài sản thuế thu nhập hoãn lại,,22.742.529,56.163.560,,22742529.0,56163560.0
Thuế thu nhập hoãn lại phải trả:Trữ lượng khoáng sản và trữ lượng địa chất,Thuế thu nhập hoãn lại phải trả:Trữ lượng khoáng sản và trữ lượng địa chất,Thuế thu nhập hoãn lại phải trả:Trữ lượng khoáng sản và trữ lượng địa chất,15%,473.642.209,489.936.081,0.15,473642209.0,489936081.0
Tài sản dài hạn,Tài sản dài hạn,Tài sản dài hạn,"7,5% - 20%",237.161.072,151.833.739,,237161072.0,151833739.0
Lỗ chưa thực hiện từ các giao dịch nội bộ,Lỗ chưa thực hiện từ các giao dịch nội bộ,Lỗ chưa thực hiện từ các giao dịch nội bộ,10% - 30%,9.815.063,42.441.627,,9815063.0,42441627.0
Tài sản vô hình mới được xác định từ hợp nhất kinh doanh (*),Tài sản vô hình mới được xác định từ hợp nhất kinh doanh (*),Tài sản vô hình mới được xác định từ hợp nhất kinh doanh (*),25% - 30%,-,824.760.181,,,824760181.0
Tài sản hữu hình mới được xác định từ hợp nhất kinh doanh (*),Tài sản hữu hình mới được xác định từ hợp nhất kinh doanh (*),Tài sản hữu hình mới được xác định từ hợp nhất kinh doanh (*),15% - 30%,-,688.334.476,,,688334476.0
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,25%,-,53.271.287,0.25,,53271287.0
Các khoản khác,Các khoản khác,Các khoản khác,10% - 30%,(135.903.080),3.289.488,,-135903080.0,3289488.0
Bù trừ,Bù trừ,Bù trừ,,-,(796.346.670),,,-796346670.0
Tổng thuế thu nhập hoãn lại phải trả,Tổng thuế thu nhập hoãn lại phải trả,Tổng thuế thu nhập hoãn lại phải trả,,584.715.264,1.457.520.209,,584715264.0,1457520209.0
