row_label_raw,row_label_full,col_0,2024Nghìn VND,2023Nghìn VND,numeric__2024Nghìn VND,numeric__2023Nghìn VND
Lỗ kế toán trước thuế,Lỗ kế toán trước thuế,Lỗ kế toán trước thuế,(933.569.686),(1.654.012.824),-933569686.0,-1654012824.0
Thuế tính theo thuế suất của Công ty,Thuế tính theo thuế suất của Công ty,Thuế tính theo thuế suất của Công ty,(186.713.937),(330.802.565),-186713937.0,-330802565.0
Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,79.947.016,3.538.801,79947016.0,3538801.0
Ưu đãi thuế,Ưu đãi thuế,Ưu đãi thuế,-,(9.205.132),,-9205132.0
Ảnh hưởng của mức thuế suất khác áp dụng đối với công ty con,Ảnh hưởng của mức thuế suất khác áp dụng đối với công ty con,Ảnh hưởng của mức thuế suất khác áp dụng đối với công ty con,(19.791.631),(7.739.568),-19791631.0,-7739568.0
Ảnh hưởng của mức thuế suất khác áp dụng đối với thu nhập khác và ghi nhận thuế hoãn lại,Ảnh hưởng của mức thuế suất khác áp dụng đối với thu nhập khác và ghi nhận thuế hoãn lại,Ảnh hưởng của mức thuế suất khác áp dụng đối với thu nhập khác và ghi nhận thuế hoãn lại,(41.121.301),4.514.359,-41121301.0,4514359.0
Sử dụng lỗ tính thuế,Sử dụng lỗ tính thuế,Sử dụng lỗ tính thuế,(49.941),(55.336),-49941.0,-55336.0
Dự phòng thiếu trong những năm trước,Dự phòng thiếu trong những năm trước,Dự phòng thiếu trong những năm trước,52.984,356.692,52984.0,356692.0
Ghi giảm/(hoàn nhập) tài sản thuế thu nhập hoãn lại,Ghi giảm/(hoàn nhập) tài sản thuế thu nhập hoãn lại,Ghi giảm/(hoàn nhập) tài sản thuế thu nhập hoãn lại,442.502.209,(12.206.750),442502209.0,-12206750.0
Tài sản thuế thu nhập hoãn lại không được ghi nhận đối với lỗ tính thuế,Tài sản thuế thu nhập hoãn lại không được ghi nhận đối với lỗ tính thuế,Tài sản thuế thu nhập hoãn lại không được ghi nhận đối với lỗ tính thuế,130.216.171,68.577.140,130216171.0,68577140.0
Biến động chênh lệch tạm thời không được ghi nhận,Biến động chênh lệch tạm thời không được ghi nhận,Biến động chênh lệch tạm thời không được ghi nhận,247.987.394,158.620.236,247987394.0,158620236.0
,,,653.028.964,(124.402.123),653028964.0,-124402123.0
