row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2024Nghìn VND,1/1/2024Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2024Nghìn VND,numeric__1/1/2024Nghìn VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),TÀI SẢN > Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),100,,6.992.043.391,10.603.675.497,100.0,,6992043391.0,10603675497.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,7,1.468.795.621,974.184.354,110.0,7.0,1468795621.0,974184354.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,1.468.795.621,974.184.354,111.0,,1468795621.0,974184354.0
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,-,8.110.000,120.0,,,8110000.0
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,8(a),-,8.110.000,123.0,,,8110000.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,1.873.471.973,2.757.111.564,130.0,,1873471973.0,2757111564.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,9,789.719.771,1.668.813.631,131.0,9.0,789719771.0,1668813631.0
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,99.262.520,206.875.846,132.0,,99262520.0,206875846.0
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,10,993.154.083,890.086.488,136.0,10.0,993154083.0,890086488.0
Dự phòng phải thu ngắn hạn khó đòi,TÀI SẢN > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,137,,(8.664.401),(8.664.401),137.0,,-8664401.0,-8664401.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,11,2.967.555.729,5.997.555.598,140.0,11.0,2967555729.0,5997555598.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,3.071.547.193,6.191.668.845,141.0,,3071547193.0,6191668845.0
Dự phòng giảm giá hàng tồn kho,TÀI SẢN > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,149,,(103.991.464),(194.113.247),149.0,,-103991464.0,-194113247.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,682.220.068,866.713.981,150.0,,682220068.0,866713981.0
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,,36.157.125,61.872.986,151.0,,36157125.0,61872986.0
Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,646.062.943,780.061.010,152.0,,646062943.0,780061010.0
Thuế và các khoản khác phải thu Nhà nước,TÀI SẢN > Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,,-,24.779.985,153.0,,,24779985.0
