row_label_raw,row_label_full,col_0,Địa chỉ,31/12/2024 > Giá trị ghi số Nghìn VND,31/12/2024 > Số lượng,1/1/2024 > % sở hữu,1/1/2024 > Giá trị ghi số Nghìn VND,1/1/2024 > Giá trị hợp lý Nghìn VND,numeric__Địa chỉ,numeric__31/12/2024 > Giá trị ghi số Nghìn VND,numeric__31/12/2024 > Số lượng,numeric__1/1/2024 > % sở hữu,numeric__1/1/2024 > Giá trị ghi số Nghìn VND,numeric__1/1/2024 > Giá trị hợp lý Nghìn VND
Đầu tư góp vốn vào công ty liên kết,Đầu tư góp vốn vào công ty liên kết,Đầu tư góp vốn vào công ty liên kết,Đầu tư góp vốn vào công ty liên kết,Đầu tư góp vốn vào công ty liên kết,Đầu tư góp vốn vào công ty liên kết,Đầu tư góp vốn vào công ty liên kết,Đầu tư góp vốn vào công ty liên kết,Đầu tư góp vốn vào công ty liên kết,,,,,,
Jiangwu H.C. Starck Tungsten Products Co. Ltd. (i),Đầu tư góp vốn vào công ty liên kết > Jiangwu H.C. Starck Tungsten Products Co. Ltd. (i),Jiangwu H.C. Starck Tungsten Products Co. Ltd. (i),Trung Quốc,-,,30%,211.552.770,(iii),,,,0.3,211552770.0,
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,,,,,,
Nyobolt Limited (ii),Đầu tư góp vốn vào đơn vị khác > Nyobolt Limited (ii),Nyobolt Limited (ii),"Cambridge, Vương quốc Anh",-,755.161,"21,5%",1.426.422.485,(iii),,,755161.0,0.215,1426422485.0,
,,,,-,,,1.637.975.255,,,,,,1637975255.0,
