row_label_raw,row_label_full,col_0,1/1/2024 > Giá trị ghi sổ và số có khả năng trả nợNghìn VND,1/1/2024 > TăngNghìn VND,Biến động trong năm > Thanh toánNghìn VND,Biến động trong năm > Chênh lệch tỷ giá chưa thực hiệnNghìn VND,Biến động trong năm > Chênh lệch do quy đổi đơn vị tiền tệ báo cáoNghìn VND,Biến động trong năm > Giảm do thoái vốn đầu tư vào công ty con (Thuyết minh 6)Nghìn VND,31/12/2024 > Giá trị ghi sổ và số có khả năng trả nợNghìn VND,numeric__1/1/2024 > Giá trị ghi sổ và số có khả năng trả nợNghìn VND,numeric__1/1/2024 > TăngNghìn VND,numeric__Biến động trong năm > Thanh toánNghìn VND,numeric__Biến động trong năm > Chênh lệch tỷ giá chưa thực hiệnNghìn VND,numeric__Biến động trong năm > Chênh lệch do quy đổi đơn vị tiền tệ báo cáoNghìn VND,numeric__Biến động trong năm > Giảm do thoái vốn đầu tư vào công ty con (Thuyết minh 6)Nghìn VND,numeric__31/12/2024 > Giá trị ghi sổ và số có khả năng trả nợNghìn VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,5.806.499.757,9.188.157.732,(11.346.740.296),4.866.617,(2.435.653),(365.520.456),3.284.827.701,5806499757.0,9188157732.0,-11346740296.0,4866617.0,-2435653.0,-365520456.0,3284827701.0
Trái phiếu dài hạn đến hạn trả(Thuyết minh 22(b)),Trái phiếu dài hạn đến hạn trả(Thuyết minh 22(b)),Trái phiếu dài hạn đến hạn trả(Thuyết minh 22(b)),1.995.283.917,4.716.083,(2.000.000.000),-,-,-,-,1995283917.0,4716083.0,-2000000000.0,,,,
Vay dài hạn đến hạn trả(Thuyết minh 22(b)),Vay dài hạn đến hạn trả(Thuyết minh 22(b)),Vay dài hạn đến hạn trả(Thuyết minh 22(b)),94.334.406,516.359.665,(240.108.728),-,2.512.322,-,373.097.665,94334406.0,516359665.0,-240108728.0,,2512322.0,,373097665.0
,,,7.896.118.080,9.709.233.480,(13.586.849.024),4.866.617,76.669,(365.520.456),3.657.925.366,7896118080.0,9709233480.0,-13586849024.0,4866617.0,76669.0,-365520456.0,3657925366.0
Điều khoản và điều kiện của các khoản vay ngắn hạn tại ngày báo cáo như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn tại ngày báo cáo như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn tại ngày báo cáo như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn tại ngày báo cáo như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn tại ngày báo cáo như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn tại ngày báo cáo như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn tại ngày báo cáo như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn tại ngày báo cáo như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn tại ngày báo cáo như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn tại ngày báo cáo như sau:,,,,,,,
,,,,Loại tiền,31/12/2024,31/12/2024,1/1/2024,1/1/2024,1/1/2024,,,,,,,
,,,,Loại tiền,Lãi suất năm (%),Nghìn VND,Lãi suất năm (%),Nghìn VND,Nghìn VND,,,,,,,
Khoản vay ngân hàng được đảm bảo (*) (**),Điều khoản và điều kiện của các khoản vay ngắn hạn tại ngày báo cáo như sau: > Khoản vay ngân hàng được đảm bảo (*) (**),Khoản vay ngân hàng được đảm bảo (*) (**),,VND,"6,00 - 8,11",556.286.554,"6,90 - 9,50",895.504.746,895.504.746,,,,556286554.0,,895504746.0,895504746.0
Khoản vay ngân hàng được đảm bảo (*) (**),Điều khoản và điều kiện của các khoản vay ngắn hạn tại ngày báo cáo như sau: > Khoản vay ngân hàng được đảm bảo (*) (**),Khoản vay ngân hàng được đảm bảo (*) (**),,USD,"5,50 - 8,20",2.151.538.731,"5,50 - 10,43",2.487.940.975,2.487.940.975,,,,2151538731.0,,2487940975.0,2487940975.0
Khoản vay ngân hàng được đảm bảo (*),Điều khoản và điều kiện của các khoản vay ngắn hạn tại ngày báo cáo như sau: > Khoản vay ngân hàng được đảm bảo (*),Khoản vay ngân hàng được đảm bảo (*),,EUR,-,-,"3,50 + lãi suất biên",274.300.000,274.300.000,,,,,,274300000.0,274300000.0
Khoản vay ngân hàng được đảm bảo (*),Điều khoản và điều kiện của các khoản vay ngắn hạn tại ngày báo cáo như sau: > Khoản vay ngân hàng được đảm bảo (*),Khoản vay ngân hàng được đảm bảo (*),,CNY,-,-,"4,15",34.938.669,34.938.669,,,,,4.15,34938669.0,34938669.0
Khoản vay ngân hàng không được đảm bảo,Điều khoản và điều kiện của các khoản vay ngắn hạn tại ngày báo cáo như sau: > Khoản vay ngân hàng không được đảm bảo,Khoản vay ngân hàng không được đảm bảo,,VND,"5,20 - 5,90",272.701.174,"4,10 - 5,40",221.224.465,221.224.465,,,,272701174.0,,221224465.0,221224465.0
