row_label_raw,row_label_full,Biến động các chênh lệch tạm thời trong năm,Biến động các chênh lệch tạm thời trong năm > 1/1/2024Nghìn VND,Biến động các chênh lệch tạm thời trong năm > Được ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhấtNghìn VND,Biến động các chênh lệch tạm thời trong năm > Được ghi nhận trong vốn chủ sở hữuNghìn VND,Biến động các chênh lệch tạm thời trong năm > Giảm do thoái vốn đầu tư vào công ty con (Thuyết minh 6)Nghìn VND,Biến động các chênh lệch tạm thời trong năm > 31/12/2024Nghìn VND,numeric__Biến động các chênh lệch tạm thời trong năm > 1/1/2024Nghìn VND,numeric__Biến động các chênh lệch tạm thời trong năm > Được ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhấtNghìn VND,numeric__Biến động các chênh lệch tạm thời trong năm > Được ghi nhận trong vốn chủ sở hữuNghìn VND,numeric__Biến động các chênh lệch tạm thời trong năm > Giảm do thoái vốn đầu tư vào công ty con (Thuyết minh 6)Nghìn VND,numeric__Biến động các chênh lệch tạm thời trong năm > 31/12/2024Nghìn VND
Trữ lượng khoáng sản và trữ lượng địa chất,Trữ lượng khoáng sản và trữ lượng địa chất,Trữ lượng khoáng sản và trữ lượng địa chất,(489.936.081),16.293.872,-,-,(473.642.209),-489936081.0,16293872.0,,,-473642209.0
Tài sản dài hạn,Tài sản dài hạn,Tài sản dài hạn,(151.833.739),(85.327.333),-,-,(237.161.072),-151833739.0,-85327333.0,,,-237161072.0
(Lỗ)/lợi nhuận chưa thực hiện từ các giao dịch nội bộ,(Lỗ)/lợi nhuận chưa thực hiện từ các giao dịch nội bộ,(Lỗ)/lợi nhuận chưa thực hiện từ các giao dịch nội bộ,(20.300.870),10.485.807,-,-,(9.815.063),-20300870.0,10485807.0,,,-9815063.0
Tài sản từ quan hệ có trước hợp nhất kinh doanh,Tài sản từ quan hệ có trước hợp nhất kinh doanh,Tài sản từ quan hệ có trước hợp nhất kinh doanh,8.018.272,(4.009.136),-,(4.009.136),-,8018272.0,-4009136.0,,-4009136.0,
Tái xác định dự phòng trợ cấp hưu trí (**),Tái xác định dự phòng trợ cấp hưu trí (**),Tái xác định dự phòng trợ cấp hưu trí (**),297.826.332,(171.710.209),52.505.841,(178.621.964),-,297826332.0,-171710209.0,52505841.0,-178621964.0,
Giá trị thuế của các khoản lỗ mang sang,Giá trị thuế của các khoản lỗ mang sang,Giá trị thuế của các khoản lỗ mang sang,446.264.329,(289.022.745),9.206.645,(87.767.290),78.680.939,446264329.0,-289022745.0,9206645.0,-87767290.0,78680939.0
Tài sản vô hình được xác định từ hợp nhất kinh doanh,Tài sản vô hình được xác định từ hợp nhất kinh doanh,Tài sản vô hình được xác định từ hợp nhất kinh doanh,(824.760.181),44.309.081,4.572.920,775.878.180,-,-824760181.0,44309081.0,4572920.0,775878180.0,
Tài sản hữu hình được xác định từ hợp nhất kinh doanh,Tài sản hữu hình được xác định từ hợp nhất kinh doanh,Tài sản hữu hình được xác định từ hợp nhất kinh doanh,(685.527.091),64.891.851,10.734.328,609.900.912,-,-685527091.0,64891851.0,10734328.0,609900912.0,
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,(53.271.287),(7.579.161),45.990,60.804.458,-,-53271287.0,-7579161.0,45990.0,60804458.0,
Dự phòng hàng tồn kho,Dự phòng hàng tồn kho,Dự phòng hàng tồn kho,19.128.896,3.613.633,-,-,22.742.529,19128896.0,3613633.0,,,22742529.0
"Chi phí phải trả, các khoản dự phòng và các khoản khác","Chi phí phải trả, các khoản dự phòng và các khoản khác","Chi phí phải trả, các khoản dự phòng và các khoản khác",53.034.771,74.734.565,(27.036.451),(43.510.744),57.222.141,53034771.0,74734565.0,-27036451.0,-43510744.0,57222141.0
,,,(1.401.356.649),(343.319.775),50.029.273,1.132.674.416,(561.972.735),-1401356649.0,-343319775.0,50029273.0,1132674416.0,-561972735.0
