row_label_raw,row_label_full,col_0,Giá trị ghi sốNghìn VND,numeric__Giá trị ghi sốNghìn VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,373.361.501,373361501.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,934.808.193,934808193.0
Hàng tồn kho – thuần,Hàng tồn kho – thuần,Hàng tồn kho – thuần,2.325.915.141,2325915141.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,166.412.450,166412450.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,132.207.304,132207304.0
Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,2.769.690.331,2769690331.0
Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,2.691.189.975,2691189975.0
Bất động sản đầu tư – thuần,Bất động sản đầu tư – thuần,Bất động sản đầu tư – thuần,630.721.518,630721518.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,250.781.755,250781755.0
Các khoản đầu tư tài chính dài hạn,Các khoản đầu tư tài chính dài hạn,Các khoản đầu tư tài chính dài hạn,239.674.491,239674491.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,(178.615.575),-178615575.0
Nợ ngắn hạn khác,Nợ ngắn hạn khác,Nợ ngắn hạn khác,(3.082.565.247),-3082565247.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,(365.520.456),-365520456.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,(152.419.674),-152419674.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,(1.132.674.416),-1132674416.0
Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,(4.730.223.368),-4730223368.0
Nợ dài hạn khác,Nợ dài hạn khác,Nợ dài hạn khác,(1.135.437),-1135437.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,(271.324.419),-271324419.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,210.537.901,210537901.0
Tài sản và nợ phải trả thuần xác định được,Tài sản và nợ phải trả thuần xác định được,Tài sản và nợ phải trả thuần xác định được,[1] 810.821.968,
Lỗ tại HCS từ việc bán Nyobolt cho Sherpa,Lỗ tại HCS từ việc bán Nyobolt cho Sherpa,Lỗ tại HCS từ việc bán Nyobolt cho Sherpa,[2] (918.916.629),
Tổng tiền thu được sau khi trừ chi phí giao dịch,Tổng tiền thu được sau khi trừ chi phí giao dịch,Tổng tiền thu được sau khi trừ chi phí giao dịch,[3] 3.135.668.310,
Lợi nhuận từ chuyển nhượng công ty con trong báo cáo kết quả hoạt động kinh doanh hợp nhất (Thuyết minh 29)(= [3] + [2] - [1]),Tổng tiền thu được sau khi trừ chi phí giao dịch > Lợi nhuận từ chuyển nhượng công ty con trong báo cáo kết quả hoạt động kinh doanh hợp nhất (Thuyết minh 29)(= [3] + [2] - [1]),Lợi nhuận từ chuyển nhượng công ty con trong báo cáo kết quả hoạt động kinh doanh hợp nhất (Thuyết minh 29)(= [3] + [2] - [1]),1.405.929.713,1405929713.0
Xóa số tài sản thuế thu nhập hoãn lại liên quan đến lỗ tính thuế của HCS khi thoái vốn (Thuyết minh 35),Tổng tiền thu được sau khi trừ chi phí giao dịch > Xóa số tài sản thuế thu nhập hoãn lại liên quan đến lỗ tính thuế của HCS khi thoái vốn (Thuyết minh 35),Xóa số tài sản thuế thu nhập hoãn lại liên quan đến lỗ tính thuế của HCS khi thoái vốn (Thuyết minh 35),(442.502.209),-442502209.0
Lợi nhuận ròng từ chuyển nhượng công ty con trong báo cáo kết quả hoạt động hợp nhất,Tổng tiền thu được sau khi trừ chi phí giao dịch > Lợi nhuận ròng từ chuyển nhượng công ty con trong báo cáo kết quả hoạt động hợp nhất,Lợi nhuận ròng từ chuyển nhượng công ty con trong báo cáo kết quả hoạt động hợp nhất,963.427.504,963427504.0
Tổng tiền thu được sau chi phí giao dịch,Tổng tiền thu được sau khi trừ chi phí giao dịch > Tổng tiền thu được sau chi phí giao dịch,Tổng tiền thu được sau chi phí giao dịch,3.135.668.310,3135668310.0
Tiền và các khoản tương đương tiền của các công ty con được chuyển nhượng,Tổng tiền thu được sau khi trừ chi phí giao dịch > Tiền và các khoản tương đương tiền của các công ty con được chuyển nhượng,Tiền và các khoản tương đương tiền của các công ty con được chuyển nhượng,(373.361.501),-373361501.0
Khoản tiền thuần tăng lên do thoái vốn đầu tư vào công ty con,Tổng tiền thu được sau khi trừ chi phí giao dịch > Khoản tiền thuần tăng lên do thoái vốn đầu tư vào công ty con,Khoản tiền thuần tăng lên do thoái vốn đầu tư vào công ty con,2.762.306.809,2762306809.0
