row_label_raw,row_label_full,col_0,ĐấtNghin VND,Phần mềmmáy vi tínhNghin VND,Quyền khai thác khoáng sảnNghin VND,Chi phí triển khai (*)Nghin VND,Tên thương hiệuNghin VND,Quan hệ với khách hàngNghin VND,Công nghệNghin VND,Tài sản cố định vô hình khácNghin VND,Tổng cộngNghin VND,numeric__ĐấtNghin VND,numeric__Phần mềmmáy vi tínhNghin VND,numeric__Quyền khai thác khoáng sảnNghin VND,numeric__Chi phí triển khai (*)Nghin VND,numeric__Tên thương hiệuNghin VND,numeric__Quan hệ với khách hàngNghin VND,numeric__Công nghệNghin VND,numeric__Tài sản cố định vô hình khácNghin VND,numeric__Tổng cộngNghin VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,40.928.913,448.302.664,792.655.211,646.235.210,1.055.786.731,216.831.167,1.456.351.779,52.256.936,4.709.348.611,40928913.0,448302664.0,792655211.0,646235210.0,1055786731.0,216831167.0,1456351779.0,52256936.0,4709348611.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,3.564.170,-,-,-,-,-,-,3.564.170,,3564170.0,,,,,,,3564170.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 15),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 15),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 15),-,2.541.397,-,-,-,-,-,-,2.541.397,,2541397.0,,,,,,,2541397.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(169.813.170),-,-,-,-,-,-,(169.813.170),,-169813170.0,,,,,,,-169813170.0
Chênh lệch do quy đổi đơn vị tiền tệ báo cáo,Nguyên giá > Chênh lệch do quy đổi đơn vị tiền tệ báo cáo,Chênh lệch do quy đổi đơn vị tiền tệ báo cáo,(589.006),2.742.684,-,(7.157.321),(11.693.272),(2.401.495),(16.129.694),(98.910),(35.327.014),-589006.0,2742684.0,,-7157321.0,-11693272.0,-2401495.0,-16129694.0,-98910.0,-35327014.0
Giảm do thoái vốn đầu tư vào công ty con (Thuyết minh 6),Nguyên giá > Giảm do thoái vốn đầu tư vào công ty con (Thuyết minh 6),Giảm do thoái vốn đầu tư vào công ty con (Thuyết minh 6),(40.339.907),(175.310.695),-,(639.077.889),(1.044.093.459),(214.429.672),(1.440.222.085),(52.158.026),(3.605.631.733),-40339907.0,-175310695.0,,-639077889.0,-1044093459.0,-214429672.0,-1440222085.0,-52158026.0,-3605631733.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,-,112.027.050,792.655.211,-,-,-,-,-,904.682.261,,112027050.0,792655211.0,,,,,,904682261.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,424.312.281,320.565.334,199.018.299,127.027.291,21.853.542,254.050.210,9.363.785,1.356.190.742,,424312281.0,320565334.0,199018299.0,127027291.0,21853542.0,254050210.0,9363785.0,1356190742.0
