row_label_raw,row_label_full,Năm 2024,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Tổng cộngNghìn VND,numeric__ĐồngNghìn VND,numeric__FluoritNghìn VND,numeric__VonframNghìn VND,numeric__Các bộ phậnkhácNghìn VND,numeric__Tổng cộngNghìn VND
Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,645.508,1.149.000,9.578.277,-,11.372.785,645508.0,1149000.0,9578277.0,,11372785.0
Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,524.642.849,,,,,524642849.0
Khấu hao tài sản cố định của bộ phận,Khấu hao tài sản cố định của bộ phận,Khấu hao tài sản cố định của bộ phận,8.153.155,33.379.157,585.680.286,114.876.320,742.088.918,8153155.0,33379157.0,585680286.0,114876320.0,742088918.0
Khấu hao tài sản cố định không phân bổ,Khấu hao tài sản cố định không phân bổ,Khấu hao tài sản cố định không phân bổ,,,,,599.483.131,,,,,599483131.0
Chi phí trả trước dài hạn kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Chi phí trả trước dài hạn kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Chi phí trả trước dài hạn kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,,,,,372.500.537,,,,,372500537.0
Năm 2023,Năm 2023,Năm 2023,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Tổng cộngNghìn VND,,,,,
Chi tiêu vốn của bộ phận,Năm 2023 > Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,3.941.759,-,9.611.114,-,13.552.873,3941759.0,,9611114.0,,13552873.0
Chi tiêu vốn không phân bổ,Năm 2023 > Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,835.849.536,,,,,835849536.0
Khấu hao tài sản cố định,Năm 2023 > Khấu hao tài sản cố định,Khấu hao tài sản cố định,8.883.751,35.607.108,381.758.148,99.618.406,525.867.413,8883751.0,35607108.0,381758148.0,99618406.0,525867413.0
Khấu hao tài sản cố định không phân bổ,Năm 2023 > Khấu hao tài sản cố định không phân bổ,Khấu hao tài sản cố định không phân bổ,,,,,784.281.980,,,,,784281980.0
Chi phí trả trước dài hạn kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Năm 2023 > Chi phí trả trước dài hạn kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Chi phí trả trước dài hạn kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,,,,,351.977.830,,,,,351977830.0
