row_label_raw,row_label_full,col_0,31/12/2024Nghìn VND,1/1/2024Nghìn VND,numeric__31/12/2024Nghìn VND,numeric__1/1/2024Nghìn VND
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,399.022.169,252.189.471,399022169.0,252189471.0
Tiền lãi vay phải trả,Tiền lãi vay phải trả,Tiền lãi vay phải trả,160.580.811,346.890.886,160580811.0,346890886.0
Trích trước chi phí thuê đất,Trích trước chi phí thuê đất,Trích trước chi phí thuê đất,56.091.971,112.468.333,56091971.0,112468333.0
Thuế và phí tài nguyên,Thuế và phí tài nguyên,Thuế và phí tài nguyên,97.996.628,15.690.196,97996628.0,15690196.0
Tiền thưởng,Tiền thưởng,Tiền thưởng,54.502.750,48.421.167,54502750.0,48421167.0
Phí tư vấn,Phí tư vấn,Phí tư vấn,-,21.698.007,,21698007.0
Chi phí xây dựng phải trả,Chi phí xây dựng phải trả,Chi phí xây dựng phải trả,4.753.210,20.494.038,4753210.0,20494038.0
Trích trước chi phí tài chính khác,Trích trước chi phí tài chính khác,Trích trước chi phí tài chính khác,919.329,1.550.261,919329.0,1550261.0
Chi phí phải trả khác,Chi phí phải trả khác,Chi phí phải trả khác,18.160.467,13.247.872,18160467.0,13247872.0
,,,792.027.335,832.650.231,792027335.0,832650231.0
