row_label_raw,row_label_full,Chi phí xây dựng cổ bản do dưỡng,Chi phí xây dựng cổ bản do dưỡng_1,Chi phí xây dựng cổ bản do dưỡng_2,numeric__Chi phí xây dựng cổ bản do dưỡng_1,numeric__Chi phí xây dựng cổ bản do dưỡng_2
,,,2024Nghìn VND,2023Nghìn VND,,
,,,2.510.877.620,2.081.826.883,2510877620.0,2081826883.0
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,21.070.721,,21070721.0
Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,479.944.352,752.584.087,479944352.0,752584087.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,(925.660.996),(341.369.035),-925660996.0,-341369035.0
Chuyển sang tài sản cố định hữu hình (Thuyết minh 12),Chuyển sang tài sản cố định hữu hình (Thuyết minh 12),Chuyển sang tài sản cố định hữu hình (Thuyết minh 12),(2.541.397),(2.378.738),-2541397.0,-2378738.0
Chuyển sang tài sản cố định vô hình (Thuyết minh 13),Chuyển sang tài sản cố định vô hình (Thuyết minh 13),Chuyển sang tài sản cố định vô hình (Thuyết minh 13),(45.648.183),(7.428.168),-45648183.0,-7428168.0
Chuyển sang chi phí trả trước dài hạn (Thuyết minh 16),Chuyển sang chi phí trả trước dài hạn (Thuyết minh 16),Chuyển sang chi phí trả trước dài hạn (Thuyết minh 16),-,(569.478),,-569478.0
Thanh lý,Thanh lý,Thanh lý,(552.030.516),-,-552030516.0,
Xóa sổ và đưa vào chi phí sản xuất kinh doanh trong năm,Xóa sổ và đưa vào chi phí sản xuất kinh doanh trong năm,Xóa sổ và đưa vào chi phí sản xuất kinh doanh trong năm,949.836,-,949836.0,
Biến động khác,Biến động khác,Biến động khác,(5.836.222),7.141.348,-5836222.0,7141348.0
Chênh lệch do quy đổi đơn vị tiền tệ báo cáo,Chênh lệch do quy đổi đơn vị tiền tệ báo cáo,Chênh lệch do quy đổi đơn vị tiền tệ báo cáo,(250.781.755),-,-250781755.0,
Giảm do thoái vốn đầu tư vào công ty con (Thuyết minh 6),Giảm do thoái vốn đầu tư vào công ty con (Thuyết minh 6),Giảm do thoái vốn đầu tư vào công ty con (Thuyết minh 6),,,,
,,,1.209.272.739,2.510.877.620,1209272739.0,2510877620.0
