row_label_raw,row_label_full,Năm 2024,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Tổng cộngNghìn VND,numeric__ĐồngNghìn VND,numeric__FluoritNghìn VND,numeric__VonframNghìn VND,numeric__Các bộ phậnkhácNghìn VND,numeric__Tổng cộngNghìn VND
Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,1.484.480.457,1.332.361.607,11.427.563.238,91.923.425,14.336.328.727,1484480457.0,1332361607.0,11427563238.0,91923425.0,14336328727.0
Lợi nhuận/(lỗ) gộp của bộ phận,Lợi nhuận/(lỗ) gộp của bộ phận,Lợi nhuận/(lỗ) gộp của bộ phận,699.851.558,798.732.467,(620.357.011),14.479.607,892.706.621,699851558.0,798732467.0,-620357011.0,14479607.0,892706621.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,(814.036.345),,,,,-814036345.0
Thu nhập từ hoạt động tài chính,Thu nhập từ hoạt động tài chính,Thu nhập từ hoạt động tài chính,,,,,1.917.333.501,,,,,1917333501.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,(2.284.396.141),,,,,-2284396141.0
Phần lợi nhuận trong công ty liên kết,Phần lợi nhuận trong công ty liên kết,Phần lợi nhuận trong công ty liên kết,,,,,30.316.644,,,,,30316644.0
Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,,,,,(258.075.720),,,,,-258075720.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,69.542.334,,,,,69542334.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,(745.036.300),,,,,-745036300.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(653.028.964),,,,,-653028964.0
Lỗ thuần sau thuế,Lỗ thuần sau thuế,Lỗ thuần sau thuế,,,,,(1.586.598.650),,,,,-1586598650.0
