row_label_raw,row_label_full,Hội đồng Quản trị,Hội đồng Quản trị_1,Hội đồng Quản trị_2,numeric__Hội đồng Quản trị_1,numeric__Hội đồng Quản trị_2
,,,Ông Danny LeÔng Nguyễn Thiều Nam,Chủ tịchPhó Chủ tịch thứ nhấtThành viên không điều hành,,
,,,Ông Ashley James McAleese,Thành viên điều hành(từ ngày 30/12/2024),,
,,,Ông Craig Richard Bradshaw,Thành viên điều hành(đến ngày 30/12/2024),,
,,,Bà Nguyễn Thu HiềnÔng Tadakazu Ohashi,Thành viên độc lậpThành viên không điều hành(đến ngày 15/7/2024),,
