row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúcVND,Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,Tổng cộngVND,numeric__Nhà cửa vàvật kiến trúcVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,110.684.934.984,35.900.000,34.188.353.273,3.263.446.748,148.172.635.005,110684934984.0,35900000.0,34188353273.0,3263446748.0,148172635005.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,8.756.504.608,993.827.273,4.275.734.547,10.493.899.187,24.519.965.615,8756504608.0,993827273.0,4275734547.0,10493899187.0,24519965615.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(8.096.485.616),-,-,-,(8.096.485.616),-8096485616.0,,,,-8096485616.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,111.344.953.976,1.029.727.273,38.464.087.820,13.757.345.935,164.596.115.004,111344953976.0,1029727273.0,38464087820.0,13757345935.0,164596115004.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,121.523.592,23.675.981,7.362.111.519,1.957.866.468,9.465.177.560,121523592.0,23675981.0,7362111519.0,1957866468.0,9465177560.0
Trích khấu hao trong nár,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong nár,Trích khấu hao trong nár,3.661.399.244,167.544.001,4.366.848.876,2.490.011.195,10.685.803.316,3661399244.0,167544001.0,4366848876.0,2490011195.0,10685803316.0
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,3.782.922.836,191.219.982,11.728.960.395,4.447.877.663,20.150.980.876,3782922836.0,191219982.0,11728960395.0,4447877663.0,20150980876.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Số cuối năm,GIÁ TRỊ CÒN LẠI > Số cuối năm,Số cuối năm,107.562.031.140,838.507.291,26.735.127.425,9.309.468.272,144.445.134.128,107562031140.0,838507291.0,26735127425.0,9309468272.0,144445134128.0
Số đầu năm,GIÁ TRỊ CÒN LẠI > Số đầu năm,Số đầu năm,110.563.411.392,12.224.019,26.826.241.754,1.305.580.280,138.707.457.445,110563411392.0,12224019.0,26826241754.0,1305580280.0,138707457445.0
