row_label_raw,row_label_full,col_0,Dịch vụ môi giới bắt đông sảnVND,Dịch vụ khácVND,Loại trừ nội bộ và điều chỉnhVND,Tổng cộngVND,numeric__Dịch vụ môi giới bắt đông sảnVND,numeric__Dịch vụ khácVND,numeric__Loại trừ nội bộ và điều chỉnhVND,numeric__Tổng cộngVND
Tổng doanh thu thuần,Tổng doanh thu thuần,Tổng doanh thu thuần,2.589.481.840.699,172.793.304.705,(449.844.434.077),2.312.430.711.327,2589481840699.0,172793304705.0,-449844434077.0,2312430711327.0
Chi phí kinh doanh,Chi phí kinh doanh,Chi phí kinh doanh,2.091.380.811.116,161.672.549.821,(450.981.429.347),1.802.071.931.590,2091380811116.0,161672549821.0,-450981429347.0,1802071931590.0
- Giá vốn hàng bán,- Giá vốn hàng bán,- Giá vốn hàng bán,1.864.977.855.449,130.263.727.265,(442.955.301.140),1.552.286.281.574,1864977855449.0,130263727265.0,-442955301140.0,1552286281574.0
- Chi phí bán hàng,- Chi phí bán hàng,- Chi phí bán hàng,52.725.731.965,-,(1.681.424.786),51.044.307.179,52725731965.0,,-1681424786.0,51044307179.0
- Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,173.677.223.702,31.408.822.556,(6.344.703.421),198.741.342.837,173677223702.0,31408822556.0,-6344703421.0,198741342837.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,498.101.029.583,11.120.754.884,1.136.995.270,510.358.779.737,498101029583.0,11120754884.0,1136995270.0,510358779737.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,5.012.227.952,,,,5012227952.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,22.231.183.764,,,,22231183764.0
(Lỗ) khác,(Lỗ) khác,(Lỗ) khác,,,,(1.929.159.922),,,,-1929159922.0
Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,,,,491.210.664.003,,,,491210664003.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,98.239.955.912,,,,98239955912.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,,,,225.235.419,,,,225235419.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,392.745.472.672,,,,392745472672.0
