row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,250.000.000.000,-,-,-,12.899.194.890,296.505.582.950,18.934.946.333,578.339.724.173,250000000000.0,,,,12899194890.0,296505582950.0,18934946333.0,578339724173.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,250.000.000.000,375.000.000.000,,-,-,-,-,625.000.000.000,250000000000.0,375000000000.0,,,,,,625000000000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,,-,-,315.301.354.839,4.737.913.217,320.039.268.056,,,,,,315301354839.0,4737913217.0,320039268056.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,,-,22.261.020.480,(22.261.020.480),-,-,,,,,22261020480.0,-22261020480.0,,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,,-,-,(32.566.363.593),(206.291.782),(32.772.655.375),,,,,,-32566363593.0,-206291782.0,-32772655375.0
Khác,Khác,Khác,-,-,,-,-,(1.268.748.723),(93.778.959),(1.362.527.682),,,,,,-1268748723.0,-93778959.0,-1362527682.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,500.000.000.000,375.000.000.000,-,-,35.160.215.370,555.710.804.993,23.372.788.809,1.489.243.809.172,500000000000.0,375000000000.0,,,35160215370.0,555710804993.0,23372788809.0,1489243809172.0
Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),300.000.000.000,(225.000.000.000),-,-,-,(75.000.000.000),-,-,300000000000.0,-225000000000.0,,,,-75000000000.0,,
Công ty con tăng vốn trong đã,Công ty con tăng vốn trong đã,Công ty con tăng vốn trong đã,-,9.243.750.000,-,-,-,-,30.361.250.000,39.605.000.000,,9243750000.0,,,,,30361250000.0,39605000000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,388.774.476.599,3.970.996.073,392.745.472.672,,,,,,388774476599.0,3970996073.0,392745472672.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,31.921.539.680,(31.921.539.680),-,-,,,,,31921539680.0,-31921539680.0,,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(22.605.835.345),(453.884.036),(23.059.719.381),,,,,,-22605835345.0,-453884036.0,-23059719381.0
Chỉ tiền mua cổ phiếu quỹ,Chỉ tiền mua cổ phiếu quỹ,Chỉ tiền mua cổ phiếu quỹ,-,-,-,(1.080.000),-,-,-,(1.080.000),,,,-1080000.0,,,,-1080000.0
Thay đổi tỷ lệ sở hữu tại Công ty con,Thay đổi tỷ lệ sở hữu tại Công ty con,Thay đổi tỷ lệ sở hữu tại Công ty con,-,(9.243.750.000,9.243.750.000,-,(521.359.616),(6.744.258.597),7.265.618.213,-,,,9243750000.0,,-521359616.0,-6744258597.0,7265618213.0,
Khác,Khác,Khác,-,-,-,-,-,(261.999.891),(251.725.383),(513.725.274),,,,,,-261999891.0,-251725383.0,-513725274.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,800.000.000.000,150.000.000.000,9.243.750.000,(1.080.000),66.560.395.434,807.951.648.079,64.265.043.676,1.898.019.757.189,800000000000.0,150000000000.0,9243750000.0,-1080000.0,66560395434.0,807951648079.0,64265043676.0,1898019757189.0
